

2016年01月19日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9148.92,+,56.83,0.63
發行量加權股價指數,7854.88,+,43.7,0.56
臺灣公司治理100指數,4325.92,+,15.88,0.37
臺灣50指數,5709.56,+,29.68,0.52
臺灣中型100指數,5741.11,+,34.47,0.6
臺灣資訊科技指數,6788.79,+,42.3,0.63
臺灣發達指數,6720.65,+,32.84,0.49
臺灣高股息指數,4856.1,+,1.12,0.02
臺灣就業99指數,4790.41,+,19.7,0.41
臺灣高薪100指數,4252.81,+,21.37,0.51
臺灣低波動高股息指數,1192.06,+,2.67,0.22
未含金融保險股指數,6677.31,+,37.62,0.57
未含電子股指數,11250.89,+,40.45,0.36
未含金融電子股指數,9885.96,+,29.81,0.3
小型股300指數,5009.19,+,50.18,1.01
水泥窯製類指數,367.57,+,1.37,0.37
塑膠化工類指數,716.05,+,2.5,0.35
機電類指數,1756.29,+,13.45,0.77
水泥類指數,95.13,-,0.01,-0.01
食品類指數,1267.49,+,6.85,0.54
塑膠類指數,205.29,-,0.17,-0.08
紡織纖維類指數,515.96,+,2.27,0.44
電機機械類指數,138.55,+,2.55,1.88
電器電纜類指數,27.46,+,0.18,0.66
化學生技醫療類指數,97.45,+,1.43,1.49
化學類指數,88.13,+,1.21,1.39
生技醫療類指數,77.27,+,1.21,1.59
玻璃陶瓷類指數,33.29,+,0.81,2.49
造紙類指數,142.55,+,0.63,0.44
鋼鐵類指數,71.17,+,0.78,1.11
橡膠類指數,264.94,+,1.82,0.69
汽車類指數,246.97,+,0.57,0.23
電子類指數,311.96,+,2.27,0.73
半導體類指數,104.68,+,0.64,0.62
電腦及週邊設備類指數,83.04,+,0.69,0.84
光電類指數,26.98,+,0.29,1.09
通信網路類指數,113.31,+,1.23,1.1
電子零組件類指數,69.49,-,0.37,-0.53
電子通路類指數,89.61,+,0.88,0.99
資訊服務類指數,77.11,+,1.07,1.41
其他電子類指數,72.75,+,0.88,1.22
建材營造類指數,210.12,+,0.21,0.1
航運類指數,64.07,-,0.33,-0.51
觀光類指數,110.89,-,1.7,-1.51
金融保險類指數,870.89,+,4.44,0.51
貿易百貨類指數,196.78,+,2.95,1.52
油電燃氣類指數,100.48,-,0.82,-0.81
其他類指數,225.18,-,0.09,-0.04
臺指日報酬兩倍指數,9142.28,+,101.16,1.12
臺指日報酬反向一倍指數,10305.77,-,57.98,-0.56
電子類兩倍槓桿指數,6789.07,+,98.09,1.47
電子類反向指數,11667.37,-,86.15,-0.73
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9792.99,+,60.84,0.63
發行量加權股價報酬指數,12433.75,+,69.18,0.56
臺灣公司治理100報酬指數,4492.36,+,16.49,0.37
臺灣50報酬指數,9134.12,+,47.49,0.52
臺灣中型100報酬指數,8576.63,+,51.5,0.6
臺灣資訊科技報酬指數,10326.58,+,64.36,0.63
臺灣發達報酬指數,9712.08,+,47.45,0.49
臺灣高股息報酬指數,8602.72,+,1.98,0.02
臺灣就業99報酬指數,5656.6,+,23.27,0.41
臺灣高薪100報酬指數,4471.05,+,22.47,0.51
臺灣低波動高股息報酬指數,2458.61,+,5.51,0.22
未含金融電子股報酬指數,15724.32,+,47.42,0.3
小型股300報酬指數,5009.19,+,50.18,1.01
水泥類報酬指數,133.83,-,0.03,-0.02
食品類報酬指數,1506.9,+,8.14,0.54
塑膠類報酬指數,261.98,-,0.2,-0.08
紡織纖維類報酬指數,651.43,+,2.87,0.44
電機機械類報酬指數,172.64,+,3.17,1.87
電器電纜類報酬指數,31.4,+,0.21,0.67
化學生技醫療類報酬指數,122.33,+,1.79,1.48
化學類報酬指數,113.57,+,1.56,1.39
生技醫療類報酬指數,92.04,+,1.44,1.59
玻璃陶瓷類報酬指數,35.76,+,0.88,2.52
造紙類報酬指數,170.17,+,0.74,0.44
鋼鐵類報酬指數,91.8,+,1,1.1
橡膠類報酬指數,330.25,+,2.27,0.69
汽車類報酬指數,301.22,+,0.7,0.23
電子類報酬指數,453.45,+,3.3,0.73
半導體類報酬指數,145.66,+,0.89,0.61
電腦及週邊設備類報酬指數,125.89,+,1.04,0.83
光電類報酬指數,32.84,+,0.37,1.14
通信網路類報酬指數,181.54,+,1.97,1.1
電子零組件類報酬指數,99.92,-,0.54,-0.54
電子通路類報酬指數,141.33,+,1.39,0.99
資訊服務類報酬指數,123.45,+,1.72,1.41
其他電子類報酬指數,87.71,+,1.06,1.22
建材營造類報酬指數,288.72,+,0.28,0.1
航運類報酬指數,77.15,-,0.4,-0.52
觀光類報酬指數,125.84,-,1.93,-1.51
金融保險類報酬指數,1125.78,+,5.75,0.51
貿易百貨類報酬指數,239.26,+,3.58,1.52
油電燃氣類報酬指數,120.8,-,0.99,-0.81
其他類報酬指數,299.16,-,0.12,-0.04
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","64416291176","1606228295","657248"
"2.台灣存託憑證","16354504","6284479","703"
"3.受益憑證","0","0","0"
"4.ETF","7826846051","425270625","58545"
"5.受益證券","10486850","685000","63"
"6.變更交易股票","6613815","2714616","554"
"7.認購(售)權證","2051851930","2360660000","60468"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","64422904991","1608942911","657802"
"總計(1~12)","74328444326","4401843015","777581"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2967(8),536(5)
"下跌(跌停)",2482(64),235(0)
"持平",488,92
"未成交",4774,8
"無比價",850,4
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月19日
"每日收盤行情("全部")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50          ","8110815","2801","462104462","57","57.25","56.65","57.25","+","0.15","57.2","98","57.25","217","0.00"
="0051  ","中100           ","18250","15","422737","23.35","23.36","23","23.36","+","0.31","23.3","1","23.37","10","0.00"
="0052  ","FB科技          ","3000","3","108540","36.26","36.26","36.11","36.11","+","0.5","36.05","10","36.42","10","0.00"
="0053  ","寶電子          ","19000","5","468530","24.68","24.68","24.63","24.64","+","0.08","24.66","8","24.85","2","0.00"
="0054  ","台商50          ","21000","7","395050","18.7","18.84","18.7","18.84","+","0.14","18.83","8","19","1","0.00"
