

2016年01月05日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9411.93,-,43.82,-0.46
發行量加權股價指數,8075.11,-,39.15,-0.48
臺灣公司治理100指數,4423.04,-,19.12,-0.43
臺灣50指數,5885.42,-,32.83,-0.55
臺灣中型100指數,5935.84,-,16.64,-0.28
臺灣資訊科技指數,6870.61,-,53.35,-0.77
臺灣發達指數,6903.8,-,10.74,-0.16
臺灣高股息指數,5023.2,+,17.26,0.34
臺灣就業99指數,4972.75,-,23.34,-0.47
臺灣高薪100指數,4412.47,-,19.19,-0.43
臺灣低波動高股息指數,1234.45,-,2.61,-0.21
未含金融保險股指數,6803.99,-,28.04,-0.41
未含電子股指數,11641.06,-,53.98,-0.46
未含金融電子股指數,10022.61,-,26.62,-0.26
小型股300指數,5119.25,-,23.66,-0.46
水泥窯製類指數,371.09,-,1.1,-0.3
塑膠化工類指數,718,+,2.12,0.3
機電類指數,1794.13,-,8.89,-0.49
水泥類指數,96.46,-,0.04,-0.04
食品類指數,1304.93,-,0.68,-0.05
塑膠類指數,203.34,+,0.82,0.4
紡織纖維類指數,530.58,-,4.63,-0.87
電機機械類指數,138.66,-,0.41,-0.29
電器電纜類指數,28.34,-,0.08,-0.28
化學生技醫療類指數,99.77,-,0.32,-0.32
化學類指數,89.55, ,--,--
生技醫療類指數,79.72,-,0.5,-0.62
玻璃陶瓷類指數,32.82,-,0.56,-1.68
造紙類指數,146.83,-,1.21,-0.82
鋼鐵類指數,71.09,-,0.55,-0.77
橡膠類指數,272.97,+,2.07,0.76
汽車類指數,262.76,-,1.15,-0.44
電子類指數,318.9,-,1.6,-0.5
半導體類指數,106.38,-,0.92,-0.86
電腦及週邊設備類指數,83.92,+,0.22,0.26
光電類指數,27.79,-,0.36,-1.28
通信網路類指數,111.67,+,0.3,0.27
電子零組件類指數,74.11,-,0.25,-0.34
電子通路類指數,90.58,-,0.52,-0.57
資訊服務類指數,79.05,-,0.77,-0.96
其他電子類指數,76.95,-,0.3,-0.39
建材營造類指數,220.8,-,1.79,-0.8
航運類指數,64.54,-,0.59,-0.91
觀光類指數,115.91,-,1.11,-0.95
金融保險類指數,948.31,-,8.94,-0.93
貿易百貨類指數,196.16,-,0.95,-0.48
油電燃氣類指數,98.15,-,0.73,-0.74
其他類指數,235.25,+,0.12,0.05
臺指日報酬兩倍指數,9670.63,-,94.23,-0.96
臺指日報酬反向一倍指數,10033.36,+,48.18,0.48
電子類兩倍槓桿指數,7103.43,-,71.64,-1
電子類反向指數,11427.55,+,56.77,0.5
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10074.51,-,46.91,-0.46
發行量加權股價報酬指數,12782.35,-,61.99,-0.48
臺灣公司治理100報酬指數,4593.21,-,19.87,-0.43
臺灣50報酬指數,9415.46,-,52.53,-0.55
臺灣中型100報酬指數,8867.54,-,24.85,-0.28
臺灣資訊科技報酬指數,10451.03,-,81.14,-0.77
臺灣發達報酬指數,9976.76,-,15.52,-0.16
臺灣高股息報酬指數,8898.75,+,30.58,0.34
臺灣就業99報酬指數,5871.92,-,27.55,-0.47
臺灣高薪100報酬指數,4638.9,-,20.18,-0.43
臺灣低波動高股息報酬指數,2546.03,-,5.39,-0.21
未含金融電子股報酬指數,15941.67,-,42.33,-0.26
小型股300報酬指數,5119.25,-,23.66,-0.46
水泥類報酬指數,135.72,-,0.05,-0.04
食品類報酬指數,1551.41,-,0.81,-0.05
塑膠類報酬指數,259.49,+,1.05,0.41
紡織纖維類報酬指數,669.89,-,5.84,-0.86
電機機械類報酬指數,172.78,-,0.51,-0.29
電器電纜類報酬指數,32.41,-,0.09,-0.28
化學生技醫療類報酬指數,125.25,-,0.39,-0.31
化學類報酬指數,115.4, ,--,--
