

2016年01月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9022.76,-,48.1,-0.53
發行量加權股價指數,7768.45,-,19.97,-0.26
臺灣公司治理100指數,4310.02,+,17.74,0.41
臺灣50指數,5668.83,+,9.38,0.17
臺灣中型100指數,5635.68,-,57.36,-1.01
臺灣資訊科技指數,6607.42,+,7.84,0.12
臺灣發達指數,6661.99,-,14.62,-0.22
臺灣高股息指數,4828.62,+,15.68,0.33
臺灣就業99指數,4792.87,+,2.13,0.04
臺灣高薪100指數,4260.35,+,11.24,0.26
臺灣低波動高股息指數,1189.31,-,2.43,-0.2
未含金融保險股指數,6558.76,-,20.56,-0.31
未含電子股指數,11247.14,-,20.87,-0.19
未含金融電子股指數,9750.88,-,29.42,-0.3
小型股300指數,4874.77,-,68.28,-1.38
水泥窯製類指數,363.67,+,0.08,0.02
塑膠化工類指數,704.42,-,0.3,-0.04
機電類指數,1719.97,-,6.05,-0.35
水泥類指數,94.77,-,0.17,-0.18
食品類指數,1241.78,-,14.39,-1.15
塑膠類指數,203.17,+,2.09,1.04
紡織纖維類指數,510.18,-,11.46,-2.2
電機機械類指數,134.16,-,1.62,-1.19
電器電纜類指數,27.16,-,0.14,-0.51
化學生技醫療類指數,92.77,-,2.63,-2.76
化學類指數,85.97,-,0.88,-1.01
生技醫療類指數,71.69,-,3.43,-4.57
玻璃陶瓷類指數,31.72,+,0.36,1.15
造紙類指數,142.34,-,0.61,-0.43
鋼鐵類指數,70.16,-,0.46,-0.65
橡膠類指數,266.57,-,2.84,-1.05
汽車類指數,249.53,+,1.4,0.56
電子類指數,305.62,-,0.98,-0.32
半導體類指數,101.52,-,0.33,-0.32
電腦及週邊設備類指數,81.89,+,0.31,0.38
光電類指數,25.62,-,0.53,-2.03
通信網路類指數,111.99,+,0.3,0.27
電子零組件類指數,70.61,-,0.54,-0.76
電子通路類指數,88.64,-,0.19,-0.21
資訊服務類指數,75.88,-,1.09,-1.42
其他電子類指數,72.04,-,0.21,-0.29
建材營造類指數,210.14,-,2.34,-1.1
航運類指數,63.02,+,0.57,0.91
觀光類指數,108.91,-,1.84,-1.66
金融保險類指數,900.78,+,0.92,0.1
貿易百貨類指數,186.49,-,0.46,-0.25
油電燃氣類指數,98.81,+,1.1,1.13
其他類指數,227.63,-,1.26,-0.55
臺指日報酬兩倍指數,8944.34,-,46.1,-0.51
臺指日報酬反向一倍指數,10422.92,+,26.66,0.26
電子類兩倍槓桿指數,6518.2,-,41.94,-0.64
電子類反向指數,11913.59,+,37.96,0.32
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9657.94,-,51.48,-0.53
發行量加權股價報酬指數,12296.93,-,31.62,-0.26
臺灣公司治理100報酬指數,4475.85,+,18.42,0.41
