

2016年01月25日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
電子類報酬指數,457.81,+,7.35,1.63
半導體類報酬指數,146.71,+,1.4,0.96
電腦及週邊設備類報酬指數,129.21,+,3.36,2.67
光電類報酬指數,32.82,+,0.75,2.34
通信網路類報酬指數,183.58,+,2.94,1.63
電子零組件類報酬指數,100.95,+,2.79,2.84
電子通路類報酬指數,141.8,+,2.33,1.67
資訊服務類報酬指數,125.17,+,1.26,1.02
其他電子類報酬指數,88.35,+,1.62,1.87
建材營造類報酬指數,279,+,1.25,0.45
航運類報酬指數,75.38,+,0.36,0.48
觀光類報酬指數,125.31,+,1.99,1.61
金融保險類報酬指數,1121.88,+,31.19,2.86
貿易百貨類報酬指數,237.37,+,1.88,0.8
油電燃氣類報酬指數,124.73,+,1.76,1.43
其他類報酬指數,298.27,+,5.66,1.93
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","60809470110","1646478469","614093"
"2.台灣存託憑證","13538805","4184174","607"
"3.受益憑證","0","0","0"
"4.ETF","7169657861","375647684","56615"
"5.受益證券","12349710","739000","55"
"6.變更交易股票","5609538","3744968","521"
"7.認購(售)權證","1650611550","1885593000","49351"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","60815079648","1650223437","614614"
"總計(1~12)","69661237574","3916387295","721242"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",3504(10),701(8)
"下跌(跌停)",1611(26),88(0)
"持平",258,72
"未成交",5123,8
"無比價",1216,5
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月25日
"每日收盤行情("全部")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50          ","12773195","4215","734244688","57","57.8","57","57.55","+","1","57.55","10","57.6","366","0.00"
="0051  ","中100           ","26000","19","603190","23.18","23.3","23.13","23.18","+","0.36","23.18","14","23.31","2","0.00"
="0052  ","FB科技          ","3000","3","109940","36.6","36.74","36.6","36.6","+","0.6","36.5","2","36.83","1","0.00"
="0053  ","寶電子          ","3000","3","74750","24.8","24.98","24.8","24.97","+","0.51","24.77","8","25","8","0.00"
="0054  ","台商50          ","4000","4","75900","18.99","18.99","18.93","18.93","+","0.43","18.89","8","19.07","8","0.00"
="0055  ","寶金融          ","605000","435","6902390","11.28","11.48","11.26","11.47","+","0.24","11.46","11","11.48","5","0.00"
="0056  ","高股息          ","1989578","826","41217908","20.69","20.79","20.56","20.77","+","0.27","20.76","10","20.77","1","0.00"
="0057  ","FB摩台          ","2000","2","71040","35.54","35.54","35.5","35.5","+","0.59","35.47","50","35.55","63","0.00"
="0058  ","FB發達          ","3000","3","100130","33.39","33.39","33.35","33.35","X","0","33.26","10","33.5","10","0.00"
="0059  ","FB金融          ","4000","4","106720","26.25","26.87","26.25","26.87","+","0.62","26.85","1","27","1","0.00"
="0060  ","新台灣          ","1000","1","25700","25.7","25.7","25.7","25.7","X","0","25.68","10","25.7","2","0.00"
="0061  ","寶滬深          ","9725111","1411","154665713","15.95","15.96","15.81","15.81","-","0.01","15.81","17","15.83","2","0.00"
="006203","寶摩臺          ","4000","4","108010","27","27.04","26.97","27.04","+","0.61","26.85","10","27.04","1","0.00"
="006204","豐臺灣          ","3000","2","116980","38.92","39.03","38.92","39.03","+","0.57","39.07","15","39.2","1","0.00"
="006205","FB上証          ","7849000","796","216652720","27.45","27.73","27.4","27.61","+","0.25","27.6","2","27.61","125","0.00"
="006206","元上證          ","1845000","286","47660940","25.77","25.96","25.65","25.66","-","0.07","25.65","65","25.75","1","0.00"
="006207","FH滬深          ","2708500","616","55925240","20.63","20.77","20.51","20.72","+","0.22","20.71","33","20.73","1","0.00"
="006208","FB台50          ","6000","2","195620","32.6","32.62","32.6","32.62","X","0","32.43","1","32.7","1","0.00"
="00631L","T50正2          ","17798953","3133","286675995","15.9","16.25","15.87","16.19","+","0.54","16.18","8","16.19","725","0.00"
="00632R","T50反1          ","40782801","6608","850952341","21.01","21.04","20.79","20.83","-","0.36","20.83","123","20.84","34","0.00"
="00633L","上証2X          ","81352600","12515","2216436683","27.42","27.5","26.99","26.99","+","0.06","26.98","353","26.99","15","0.00"
="00634R","上証反          ","5469594","596","63251421","11.53","11.64","11.5","11.59","-","0.09","11.59","149","11.6","83","0.00"
="00635U","元黃金          ","241000","77","4448280","18.42","18.48","18.42","18.46","+","0.04","18.45","12","18.46","75","0.00"
="00636 ","CFA50           ","3245000","312","52440730","16.2","16.24","16.07","16.1","-","0.01","16.09","2","16.1","5","0.00"
="00637L","滬深2X          ","102015000","10531","1028791860","10.1","10.19","9.99","9.99","+","0.07","9.99","106","10","309","0.00"
="00638R","滬深反          ","1589000","178","34286370","21.7","21.7","21.49","21.63","-","0.18","21.63","138","21.64","1","0.00"
="00639 ","深100           ","3899000","436","39558810","10.12","10.24","10.05","10.1","+","0.05","10.09","74","10.1","31","0.00"
="00640L","日本2X          ","9416000","1209","157832730","16.64","16.97","16.57","16.88","+","0.63","16.86","50","16.88","330","0.00"
="00641R","日本反          ","6965000","780","146986750","21.21","21.26","20.98","21.05","-","0.49","21.05","219","21.06","20","0.00"
="00642U","元石油          ","50761352","10098","757130912","14.9","15.05","14.84","15.04","+","0.96","15.04","268","15.05","118","0.00"
="00643 ","深中小          ","2808000","342","44058720","15.69","15.79","15.58","15.72","+","0.21","15.71","5","15.72","98","0.00"
="00645 ","FB日本          ","3482000","137","61913940","17.7","17.87","17.67","17.81","+","0.24","17.81","98","17.82","101","0.00"
="00646 ","S&P500          ","1477100","162","27995470","18.91","18.99","18.89","18.97","+","0.2","18.96","101","18.97","66","0.00"
="00647L","S&P正2          ","2383000","327","41661140","17.45","17.53","17.38","17.5","+","0.44","17.5","121","17.52","314","0.00"
="00648R","S&P反1          ","4403000","518","96004560","21.9","21.9","21.74","21.77","-","0.41","21.76","10","21.77","15","0.00"
="008201","上證50          ","4900","24","373570","76.4","76.9","76","76.9","+","0.95","76.4","1","76.9","32","0.00"
="01001T","富邦R1          ","2000","2","31520","15.76","15.76","15.76","15.76"," ","0","15.76","9","15.93","10","0.00"
="01002T","國泰R1          ","726000","51","12180690","16.8","16.96","16.77","16.85","+","0.08","16.79","29","16.85","19","0.00"
="01003T","新光R1          ","0","0","0","--","--","--","--"," ","0","14.15","3","14.2","11","0.00"
="01004T","富邦R2          ","11000","2","137500","12.5","12.5","12.5","12.5","+","0.02","12.48","1","12.57","2","0.00"
="01007T","國泰R2          ","0","0","0","--","--","--","--"," ","0","15.37","1","15.44","1","0.00"
="03001X","元展01          ","0","0","0","--","--","--","--"," ","0","59.5","10","60.5","10","102"
="03003X","元展03          ","1000","1","46500","46.5","46.5","46.5","46.5","+","1.6","46.4","10","46.8","10","139.5"
="03004X","元展04          ","13000","2","79000","6","6.1","6","6.1","X","0","6","10","6.1","10","17.85"
="03005X","元展05          ","25000","4","206600","8.15","8.6","8.15","8.6","+","0.85","8.65","10","8.75","10","20"
="03006X","元展06          ","107000","44","1398100","13","13.7","12.4","13.3","+","1","13.3","11","13.5","10","36.2"
="030071","統一K8          ","854000","8","8540","0.01","0.01","0.01","0.01"," ","0","0.01","10","0.02","417","57.55"
="03007X","元展07          ","211000","11","1326700","5.95","6.35","5.95","6.3","+","0.35","6.25","10","6.35","10","14.85"
="03009X","元展09          ","0","0","0","--","--","--","--"," ","0","13","10","13.2","10","22.95"
="03010X","元展10          ","5000","4","129600","26","26","25.9","25.9","+","0.9","25.9","11","26","10","76"
="03011X","元展11          ","355000","21","539240","1.43","1.6","1.41","1.55","+","0.25","1.53","10","1.56","10","6.3"
="03012X","元展12          ","40000","2","202000","5.05","5.05","5.05","5.05","+","0.61","5.15","10","5.2","10","35.25"
="03013X","元展13          ","15000","2","40800","2.62","2.77","2.62","2.77","+","0.35","2.72","20","2.82","10","10.55"
="03014X","元展14          ","18000","5","118100","6.55","6.65","6.55","6.65","X","0","6.6","10","6.75","3","14.4"
="03015X","元展15          ","234000","5","1967000","8.3","8.55","8.2","8.55","+","0.75","8.7","10","8.8","10","17"
="030160","國泰HI          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","100","16.9"
="03016X","元展16          ","455000","19","463710","0.98","1.06","0.96","1.06","+","0.13","1.05","10","1.06","10","7.27"
="03017X","元展17          ","576000","18","541500","0.9","1.03","0.9","1.02","+","0.19","1.02","10","1.03","10","8.46"
="03018X","元展18          ","20000","4","33560","1.63","1.69","1.63","1.69","+","0.15","1.69","10","1.73","10","14.55"
="03019X","元展19          ","130000","3","196010","1.5","1.52","1.5","1.51","X","0","1.52","10","1.53","10","13.15"
="03020X","元展20          ","162000","4","298430","1.84","1.89","1.84","1.89","X","0","1.92","10","1.94","10","15.55"
="030216","國泰HV          ","0","0","0","--","--","--","--"," ","0","4.04","130","4.28","5","50.4"
="03021X","元展21          ","11000","2","81250","7.4","7.4","7.35","7.35","+","0.15","7.35","10","7.45","10","25.3"
="03022X","富展01          ","0","0","0","--","--","--","--"," ","0","13.1","10","13.2","10","76"
="03023X","富展02          ","0","0","0","--","--","--","--"," ","0","15","10","15.1","10","27.61"
="03024X","富展03          ","0","0","0","--","--","--","--"," ","0","24.3","20","25","11","139.5"
="03025X","元展22          ","16000","5","218600","13.5","13.7","13.5","13.7","+","0.6","13.7","494","13.8","504","57.55"
="03026X","元展23          ","5000","1","20600","4.12","4.12","4.12","4.12","+","0.13","4.05","100","4.07","100","15.81"
="03027X","元展24          ","0","0","0","--","--","--","--"," ","0","7.85","100","7.95","100","27.61"
="03028X","元展25          ","0","0","0","--","--","--","--"," ","0","12.8","10","13","10","56.4"
="03029X","元展26          ","5000","1","38750","7.75","7.75","7.75","7.75","+","0.65","7.75","5","7.8","10","31.3"
="03030X","元展27          ","137000","12","262870","1.94","1.94","1.89","1.91","-","0.03","1.87","20","1.88","10","8.87"
="03031X","元展28          ","0","0","0","--","--","--","--"," ","0","5.35","10","5.4","10","45.95"
="030323","1Z元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.08","5","27.61"
="030324","2A元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","1,590","76"
="03032X","元展29          ","10000","1","26400","2.64","2.64","2.64","2.64","+","0.07","2.63","10","2.65","10","9.38"
="03033X","元展30          ","32000","12","183550","5.75","5.9","5.65","5.75","+","0.45","5.65","10","5.75","10","228.5"
="03035X","元展32          ","5000","1","23850","4.77","4.77","4.77","4.77","+","0.08","4.73","10","4.77","10","23.65"
="03037X","元展34          ","0","0","0","--","--","--","--"," ","0","5","20","5.1","10","17.35"
="03038X","元展35          ","1000","1","8900","8.9","8.9","8.9","8.9","X","0","9","10","9.05","10","75.1"
="03039X","元展36          ","0","0","0","--","--","--","--"," ","0","5.1","10","5.15","10","271.5"
="03040X","元展37          ","118000","5","484680","4","4.16","4","4.12","X","0","4.08","10","4.12","10","11.45"
="030419","3F元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.02","200","15.81"
="03041X","元展38          ","81000","10","280370","3.44","3.59","3.44","3.59","+","0.44","3.59","10","3.63","10","139.5"
="03042F","06群益          ","0","0","0","--","--","--","--"," ","0","0.04","100","0.05","100","0.00"
="03042X","元展39          ","0","0","0","--","--","--","--"," ","0","6.95","10","7.05","10","34.8"
="03043F","B5群益          ","0","0","0","--","--","--","--"," ","0","0.39","100","0.4","100","0.00"
="03043X","元展40          ","11000","1","105600","9.6","9.6","9.6","9.6","X","0","9.5","10","9.7","10","51.3"
="03044F","B6群益          ","0","0","0","--","--","--","--"," ","0","0.69","200","0.7","200","0.00"
="03044X","元展41          ","18000","2","116150","6.45","6.5","6.45","6.5","X","0","6.5","10","6.55","1","18.25"
="030453","統一M1          ","1100000","7","11000","0.01","0.01","0.01","0.01","X","0","0.01","1,007","0.03","50","25.66"
="03046X","元展43          ","109000","6","302910","2.69","2.82","2.69","2.82","+","0.32","2.94","10","2.96","10","51"
="03047X","元展44          ","266000","8","337600","1.25","1.3","1.25","1.3","+","0.08","1.29","10","1.3","10","7.08"
="03048X","元展45          ","80000","4","129600","1.6","1.64","1.6","1.64","+","0.06","1.62","10","1.64","10","14.4"
="03049X","元展46          ","90000","4","221100","2.43","2.48","2.43","2.48","+","0.14","2.43","10","2.45","10","45.45"
="03050X","元展47          ","410000","52","838140","1.99","2.13","1.96","2.04","+","0.11","2.03","10","2.04","15","37.75"
="03051X","元展48          ","16000","5","156400","9.8","9.9","9.75","9.85","+","0.3","9.8","10","9.9","10","53.3"
="030529","統一M4          ","536000","6","5360","0.01","0.01","0.01","0.01","X","0","0.01","100","0.02","2,679","9.38"
="03052X","元展49          ","0","0","0","--","--","--","--"," ","0","10.6","10","10.8","10","76"
="030537","統一N3          ","20000","2","10700","0.53","0.54","0.53","0.54","X","0","0.5","20","0.54","100","378.5"
="03053X","元展50          ","1000","1","5300","5.3","5.3","5.3","5.3"," ","0","5.35","10","5.4","20","99.9"
="03054X","元展51          ","3000","2","28300","9.4","9.5","9.4","9.5","X","0","9.45","10","9.5","10","69.7"
="030557","3X元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.02","80","36.2"
="03055X","元展52          ","10000","1","54000","5.4","5.4","5.4","5.4","X","0","5.5","10","5.6","10","52.1"
="03057X","ML展02          ","81000","5","156330","1.93","1.93","1.93","1.93","+","0.16","1.86","11","1.93","25","10.3"
="03058X","元展53          ","0","0","0","--","--","--","--"," ","0","19.2","10","19.4","10","139.5"
="03059X","元展54          ","2000","1","16000","8","8","8","8","X","0","7.9","10","7.95","10","17.25"
="03060X","元展55          ","0","0","0","--","--","--","--"," ","0","7.35","10","7.45","10","70.5"
="03061X","元展56          ","1000","1","26100","26.1","26.1","26.1","26.1","X","0","26.2","10","26.5","10","102"
="03062X","元展57          ","0","0","0","--","--","--","--"," ","0","11","10","11.3","10","420"
="030636","統一N4          ","20000","1","200","0.01","0.01","0.01","0.01","X","0","0.01","10","0.03","100","139.5"
="03063X","元展58          ","65000","16","740400","11.2","12","11","11","+","0.8","11","12","11.2","10","2075"
="03064X","元展59          ","12000","1","62400","5.2","5.2","5.2","5.2","X","0","5.15","100","5.2","10","11.4"
="03065X","元展60          ","2000","2","24600","12.3","12.3","12.3","12.3","+","0.2","12.2","10","12.3","10","25.85"
="03066X","元展61          ","1000","1","4580","4.58","4.58","4.58","4.58","X","0","4.55","10","4.57","10","8.87"
="030679","4V元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","350","228.5"
="03067X","元展62          ","5000","4","34250","6.7","6.95","6.7","6.95","+","0.6","7","10","7.1","10","61.6"
="03068X","元展63          ","0","0","0","--","--","--","--"," ","0","13.4","10","13.6","10","119"
="03069X","元展64          ","5000","2","58500","11.7","11.7","11.7","11.7","+","0.5","11.6","10","11.7","10","49.9"
="03070X","元展65          ","7000","1","58100","8.3","8.3","8.3","8.3","X","0","8","10","8.1","10","37.75"
="03071X","元展66          ","10000","6","111000","11","11.2","11","11.1","+","0.2","11","10","11.1","10","214.5"
="03072X","元展67          ","20000","1","178000","8.9","8.9","8.9","8.9","X","0","8.9","10","8.95","10","76.8"
="03073X","元展68          ","0","0","0","--","--","--","--"," ","0","16.2","10","16.3","10","2075"
="030784","5V元富          ","161000","2","1610","0.01","0.01","0.01","0.01"," ","0","--","0","0.01","629","69"
="030815","05統一          ","0","0","0","--","--","--","--"," ","0","0.01","1,020","0.02","1,803","69"
="030872","6C元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.02","499","17.35"
="030907","12統一          ","508000","10","24600","0.04","0.05","0.04","0.05"," ","0","0.03","432","0.05","657","2075"
="031047","國泰JH          ","0","0","0","--","--","--","--"," ","0","--","0","0.02","70","54.7"
="031074","群益JC          ","160000","4","343200","2.29","2.29","2.1","2.1","-","0.33","2.09","25","2.11","40","20.83"
="031075","群益JD          ","379000","51","718480","1.98","1.98","1.84","1.86","-","0.25","1.82","20","1.86","10","20.83"
="031158","中信5Q          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","699","69"
="031161","HD凱基          ","0","0","0","--","--","--","--"," ","0","1.06","30","1.16","30","20.83"
="031196","8B元富          ","0","0","0","--","--","--","--"," ","0","0.01","25","0.1","10","16.19"
="031225","GY第一          ","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","11.45"
="031231","8D元富          ","30000","6","2910","0.06","0.11","0.06","0.11","X","0","0.1","1","0.11","74","76.8"
="031262","日盛Y5          ","91000","3","30860","0.26","0.34","0.26","0.34","+","0.1","0.29","25","0.31","10","28.6"
="031264","23統一          ","0","0","0","--","--","--","--"," ","0","0.01","20","0.04","2","139.5"
="031265","24統一          ","380000","8","3800","0.01","0.01","0.01","0.01"," ","0","0.01","30","0.02","300","71"
="031323","日盛Y9          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","6.3"
="031438","國票AG          ","150000","5","4500","0.03","0.03","0.03","0.03","+","0.01","0.03","489","0.04","20","139.5"
="031473","32統一          ","0","0","0","--","--","--","--"," ","0","0.01","10","0.08","20","17"
="031475","D6元大          ","34000","5","96610","2.86","2.87","2.83","2.83","-","0.36","2.83","481","2.84","495","20.83"
="031506","中信5V          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","679","69"
="031552","日盛AC          ","0","0","0","--","--","--","--"," ","0","0.01","25","0.02","25","35.25"
="031573","KN富邦          ","603000","4","6030","0.01","0.01","0.01","0.01","X","0","0.01","10","0.03","400","76"
="031583","9U元富          ","14000","2","2660","0.19","0.19","0.19","0.19","X","0","0.09","33","0.17","50","76.8"
="031606","中信6K          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","200","228.5"
="031644","KX富邦          ","0","0","0","--","--","--","--"," ","0","--","0","0.1","50","7.27"
="031739","50統一          ","0","0","0","--","--","--","--"," ","0","0.06","10","0.1","10","28.4"
="031748","59統一          ","113000","3","1130","0.01","0.01","0.01","0.01"," ","0","0.01","10","0.08","5","2075"
="03177B","元熊I1          ","0","0","0","--","--","--","--"," ","0","3.44","499","3.45","499","7894.15"
="03178B","元熊18          ","0","0","0","--","--","--","--"," ","0","5.85","499","5.9","499","867.87"
="031801","LN富邦          ","0","0","0","--","--","--","--"," ","0","--","0","0.15","10","2075"
="031803","LQ富邦          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","240","2075"
="03180B","元熊J1          ","12000","2","40780","3.39","3.4","3.39","3.4","-","0.14","3.39","499","3.4","485","7894.15"
="031838","國泰LB          ","150000","2","18050","0.13","0.13","0.12","0.12","X","0","0.13","20","0.3","100","54.7"
="03184B","元熊AU          ","0","0","0","--","--","--","--"," ","0","3.89","499","3.96","10","57.55"
="03185B","元熊L1          ","0","0","0","--","--","--","--"," ","0","4.76","499","4.77","499","7894.15"
="03186B","元熊M1          ","0","0","0","--","--","--","--"," ","0","4.78","499","4.8","495","7894.15"
="03187B","元熊AV          ","13000","4","52880","4.06","4.07","4.06","4.06","-","0.24","4.02","21","4.06","10","57.55"
="031884","D4元富          ","0","0","0","--","--","--","--"," ","0","0.05","10","0.07","20","2075"
="03189B","元熊N1          ","307000","2","586370","1.91","1.91","1.91","1.91","X","0","1.9","499","1.92","499","7894.15"
="03190B","元熊38          ","47000","4","225800","4.81","4.81","4.8","4.8","-","0.19","4.8","499","4.81","499","867.87"
="03192B","元熊X1          ","291000","15","464360","1.63","1.64","1.56","1.57","-","0.13","1.57","479","1.58","495","7894.15"
="031937","中信7Q          ","0","0","0","--","--","--","--"," ","0","--","0","0.06","30","52.7"
="03193B","兆熊HN          ","15000","2","23800","1.59","1.59","1.58","1.58","-","0.14","--","0","1.6","2","7894.15"
="03194B","兆熊HP          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","7894.15"
="03197B","元熊Z1          ","4324000","224","6580470","1.56","1.58","1.48","1.53","-","0.11","1.52","599","1.53","507","7894.15"
="03198B","兆熊B6          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","7894.15"
="031991","70統一          ","86000","5","22360","0.26","0.26","0.26","0.26","+","0.04","0.26","10","0.29","10","139.5"
="03199B","兆熊B7          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","7894.15"
="03200B","元熊01          ","245000","13","451930","1.9","1.9","1.81","1.81","-","0.16","1.82","499","1.83","495","7894.15"
="03201B","2U兆熊          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","7894.15"
="03202B","元熊11          ","44000","3","99540","2.27","2.27","2.26","2.26","-","0.15","2.27","499","2.28","495","7894.15"
="03203B","兆熊31          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","7894.15"
="032044","J2元富          ","0","0","0","--","--","--","--"," ","0","0.68","25","0.78","10","51.3"
="03204B","群熊AA          ","50000","4","93800","1.9","1.9","1.84","1.84","-","0.15","1.82","499","1.83","499","7894.15"
="03205B","凱熊40          ","0","0","0","--","--","--","--"," ","0","3.61","30","3.62","30","7894.15"
="032065","72統一          ","0","0","0","--","--","--","--"," ","0","0.01","907","0.02","2,370","214.5"
="03206B","凱熊41          ","0","0","0","--","--","--","--"," ","0","4.12","30","4.13","30","7894.15"
="032079","NM凱基          ","8000","8","80","0.01","0.01","0.01","0.01","X","0","--","0","0.01","172","228.5"
="03207B","CU兆熊          ","733000","32","1221310","1.74","1.75","1.65","1.66","-","0.13","1.65","10","1.7","3","7894.15"
="032088","NS凱基          ","0","0","0","--","--","--","--"," ","0","--","0","0.1","80","52.7"
="03208B","群熊AB          ","130000","16","379280","2.96","2.96","2.88","2.91","-","0.25","2.91","491","2.92","499","7894.15"
="03209B","凱熊42          ","6000","3","18780","3.14","3.14","3.12","3.12","-","0.27","3.12","30","3.13","30","7894.15"
="03210B","元熊21          ","242000","11","474410","1.98","1.98","1.94","1.95","-","0.13","1.94","499","1.95","448","7894.15"
="03211B","元熊31          ","409000","33","740650","1.88","1.88","1.79","1.79","-","0.14","1.8","499","1.81","495","7894.15"
="03212B","KJ兆熊          ","125000","9","185640","1.54","1.54","1.46","1.46","-","0.14","--","0","--","0","7894.15"
="03213B","群熊AC          ","0","0","0","--","--","--","--"," ","0","2.59","499","2.6","499","7894.15"
="032284","80統一          ","0","0","0","--","--","--","--"," ","0","0.01","20","0.1","20","28.4"
="032285","81統一          ","10000","1","100","0.01","0.01","0.01","0.01","X","0","0.01","20","0.08","2","214.5"
="032286","82統一          ","0","0","0","--","--","--","--"," ","0","0.04","10","0.05","120","28.4"
="032318","N6元富          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","62"
="032340","88統一          ","0","0","0","--","--","--","--"," ","0","0.01","2,016","0.02","110","57.55"
="032388","89統一          ","0","0","0","--","--","--","--"," ","0","0.01","3,317","0.02","532","228.5"
="032457","90統一          ","0","0","0","--","--","--","--"," ","0","0.01","2,707","0.03","76","76"
="032536","富邦29          ","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","76"
="032547","97統一          ","0","0","0","--","--","--","--"," ","0","0.01","20","0.02","770","2075"
="032548","98統一          ","0","0","0","--","--","--","--"," ","0","0.01","20","0.02","1,216","2075"
="032569","90元大          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","125","2075"
="032594","富邦32          ","1000","1","10","0.01","0.01","0.01","0.01","X","0","--","0","0.01","468","228.5"
="032595","富邦33          ","0","0","0","--","--","--","--"," ","0","--","0","0.02","20","2075"
="032596","富邦34          ","0","0","0","--","--","--","--"," ","0","--","0","0.1","70","2075"
