

2016年01月25日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9174.56,+,159.87,1.77
發行量加權股價指數,7894.15,+,137.97,1.78
臺灣公司治理100指數,4362.94,+,75.66,1.76
臺灣50指數,5749.98,+,102.46,1.81
臺灣中型100指數,5747.88,+,105.48,1.87
臺灣資訊科技指數,6862.27,+,79.42,1.17
臺灣發達指數,6758.26,+,133.55,2.02
臺灣高股息指數,4891.7,+,95.89,2
臺灣就業99指數,4800.01,+,87.14,1.85
臺灣高薪100指數,4282.74,+,84.12,2
臺灣低波動高股息指數,1184.06,+,22.88,1.97
未含金融保險股指數,6719.1,+,107.21,1.62
未含電子股指數,11247.89,+,215.16,1.95
未含金融電子股指數,9895.5,+,156.45,1.61
小型股300指數,5008.09,+,80.93,1.64
水泥窯製類指數,362.6,+,3.01,0.84
塑膠化工類指數,718.96,+,15.64,2.22
機電類指數,1772.74,+,28.59,1.64
水泥類指數,93.65,+,0.67,0.72
食品類指數,1277.96,+,21.52,1.71
塑膠類指數,206.54,+,4.59,2.27
紡織纖維類指數,515.3,+,7.36,1.45
電機機械類指數,138.98,+,2.59,1.9
電器電纜類指數,27.62,+,0.41,1.51
化學生技醫療類指數,97.47,+,2.01,2.11
化學類指數,88.82,+,1.64,1.88
生技醫療類指數,76.68,+,1.76,2.35
玻璃陶瓷類指數,33.19,+,0.47,1.44
造紙類指數,141.49,+,0.53,0.38
鋼鐵類指數,72.16,+,1.1,1.55
橡膠類指數,264.97,+,5.58,2.15
汽車類指數,241.67,+,2.86,1.2
電子類指數,314.96,+,5.06,1.63
半導體類指數,105.44,+,1.01,0.97
電腦及週邊設備類指數,85.23,+,2.22,2.67
光電類指數,26.97,+,0.61,2.31
通信網路類指數,114.58,+,1.83,1.62
電子零組件類指數,70.21,+,1.94,2.84
電子通路類指數,89.91,+,1.48,1.67
資訊服務類指數,78.19,+,0.79,1.02
其他電子類指數,73.28,+,1.34,1.86
建材營造類指數,203.04,+,0.91,0.45
航運類指數,62.59,+,0.29,0.47
觀光類指數,110.42,+,1.75,1.61
金融保險類指數,867.87,+,24.12,2.86
貿易百貨類指數,195.22,+,1.55,0.8
油電燃氣類指數,103.75,+,1.47,1.44
其他類指數,224.51,+,4.26,1.93
臺指日報酬兩倍指數,9225.82,+,316.95,3.56
臺指日報酬反向一倍指數,10245.54,-,185.55,-1.78
電子類兩倍槓桿指數,6912.47,+,218.59,3.27
電子類反向指數,11543.34,-,191.61,-1.63
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9820.43,+,171.13,1.77
發行量加權股價報酬指數,12495.91,+,218.4,1.78
臺灣公司治理100報酬指數,4530.81,+,78.58,1.76
臺灣50報酬指數,9198.78,+,163.9,1.81
臺灣中型100報酬指數,8586.75,+,157.58,1.87
臺灣資訊科技報酬指數,10438.33,+,120.79,1.17
臺灣發達報酬指數,9766.44,+,193,2.02
臺灣高股息報酬指數,8665.8,+,169.88,2
臺灣就業99報酬指數,5667.93,+,102.89,1.85
臺灣高薪100報酬指數,4502.52,+,88.44,2
臺灣低波動高股息報酬指數,2442.1,+,47.18,1.97
未含金融電子股報酬指數,15739.49,+,248.85,1.61
小型股300報酬指數,5008.09,+,80.93,1.64
水泥類報酬指數,131.76,+,0.95,0.73
食品類報酬指數,1519.34,+,25.58,1.71
塑膠類報酬指數,263.57,+,5.86,2.27
紡織纖維類報酬指數,650.6,+,9.29,1.45
電機機械類報酬指數,173.18,+,3.23,1.9
電器電纜類報酬指數,31.58,+,0.46,1.48
化學生技醫療類報酬指數,122.36,+,2.53,2.11
化學類報酬指數,114.46,+,2.12,1.89
生技醫療類報酬指數,91.34,+,2.1,2.35
玻璃陶瓷類報酬指數,35.65,+,0.51,1.45
造紙類報酬指數,168.92,+,0.64,0.38
鋼鐵類報酬指數,93.08,+,1.41,1.54
橡膠類報酬指數,330.29,+,6.96,2.15
汽車類報酬指數,294.76,+,3.5,1.2
