

2016年01月06日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9312.74,-,99.19,-1.05
發行量加權股價指數,7990.39,-,84.72,-1.05
臺灣公司治理100指數,4386.82,-,36.22,-0.82
臺灣50指數,5815.69,-,69.73,-1.18
臺灣中型100指數,5867.23,-,68.61,-1.16
臺灣資訊科技指數,6743.52,-,127.09,-1.85
臺灣發達指數,6860.74,-,43.06,-0.62
臺灣高股息指數,4926.34,-,96.86,-1.93
臺灣就業99指數,4924.24,-,48.51,-0.98
臺灣高薪100指數,4363.86,-,48.61,-1.1
臺灣低波動高股息指數,1227.54,-,6.91,-0.56
未含金融保險股指數,6733.44,-,70.55,-1.04
未含電子股指數,11592.57,-,48.49,-0.42
未含金融電子股指數,10010.2,-,12.41,-0.12
小型股300指數,5067.01,-,52.24,-1.02
水泥窯製類指數,369.03,-,2.06,-0.56
塑膠化工類指數,715.29,-,2.71,-0.38
機電類指數,1765.67,-,28.46,-1.59
水泥類指數,95.84,-,0.62,-0.64
食品類指數,1301.34,-,3.59,-0.28
塑膠類指數,203.16,-,0.18,-0.09
紡織纖維類指數,529.92,-,0.66,-0.12
電機機械類指數,137.26,-,1.4,-1.01
電器電纜類指數,28.06,-,0.28,-0.99
化學生技醫療類指數,98.1,-,1.67,-1.67
化學類指數,88.53,-,1.02,-1.14
生技醫療類指數,77.95,-,1.77,-2.22
玻璃陶瓷類指數,32.79,-,0.03,-0.09
造紙類指數,145.92,-,0.91,-0.62
鋼鐵類指數,70.87,-,0.22,-0.31
橡膠類指數,273.95,+,0.98,0.36
汽車類指數,264.69,+,1.93,0.73
電子類指數,313.76,-,5.14,-1.61
半導體類指數,104.34,-,2.04,-1.92
電腦及週邊設備類指數,82.6,-,1.32,-1.57
光電類指數,26.8,-,0.99,-3.56
通信網路類指數,111.29,-,0.38,-0.34
電子零組件類指數,72.83,-,1.28,-1.73
電子通路類指數,90.71,+,0.13,0.14
資訊服務類指數,78.87,-,0.18,-0.23
其他電子類指數,76.2,-,0.75,-0.97
建材營造類指數,218.8,-,2,-0.91
航運類指數,65.04,+,0.5,0.77
觀光類指數,116.65,+,0.74,0.64
金融保險類指數,937.64,-,10.67,-1.13
貿易百貨類指數,196.94,+,0.78,0.4
油電燃氣類指數,98.94,+,0.79,0.8
其他類指數,234.66,-,0.59,-0.25
臺指日報酬兩倍指數,9467.71,-,202.92,-2.1
臺指日報酬反向一倍指數,10138.62,+,105.26,1.05
電子類兩倍槓桿指數,6874.45,-,228.98,-3.22
電子類反向指數,11611.74,+,184.19,1.61
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9968.34,-,106.17,-1.05
發行量加權股價報酬指數,12648.25,-,134.1,-1.05
臺灣公司治理100報酬指數,4555.6,-,37.61,-0.82
臺灣50報酬指數,9303.91,-,111.55,-1.18
臺灣中型100報酬指數,8765.05,-,102.49,-1.16
臺灣資訊科技報酬指數,10257.71,-,193.32,-1.85
臺灣發達報酬指數,9914.53,-,62.23,-0.62
臺灣高股息報酬指數,8727.15,-,171.6,-1.93
臺灣就業99報酬指數,5814.63,-,57.29,-0.98
臺灣高薪100報酬指數,4587.79,-,51.11,-1.1
臺灣低波動高股息報酬指數,2531.79,-,14.24,-0.56
未含金融電子股報酬指數,15921.92,-,19.75,-0.12
小型股300報酬指數,5067.01,-,52.24,-1.02
水泥類報酬指數,134.84,-,0.88,-0.65
食品類報酬指數,1547.14,-,4.27,-0.28
塑膠類報酬指數,259.25,-,0.24,-0.09
紡織纖維類報酬指數,669.06,-,0.83,-0.12
電機機械類報酬指數,171.04,-,1.74,-1.01
電器電纜類報酬指數,32.09,-,0.32,-0.99
化學生技醫療類報酬指數,123.14,-,2.11,-1.68
化學類報酬指數,114.08,-,1.32,-1.14
生技醫療類報酬指數,92.84,-,2.11,-2.22
玻璃陶瓷類報酬指數,35.22,-,0.03,-0.09
造紙類報酬指數,174.2,-,1.08,-0.62
鋼鐵類報酬指數,91.41,-,0.29,-0.32
橡膠類報酬指數,341.49,+,1.23,0.36
汽車類報酬指數,322.84,+,2.37,0.74
電子類報酬指數,456.07,-,7.46,-1.61
半導體類報酬指數,145.19,-,2.83,-1.91
電腦及週邊設備類報酬指數,125.22,-,2.01,-1.58
光電類報酬指數,32.61,-,1.21,-3.58
通信網路類報酬指數,178.31,-,0.6,-0.34
電子零組件類報酬指數,104.72,-,1.84,-1.73
電子通路類報酬指數,143.06,+,0.2,0.14
資訊服務類報酬指數,126.26,-,0.29,-0.23
其他電子類報酬指數,91.87,-,0.89,-0.96
建材營造類報酬指數,300.65,-,2.76,-0.91
航運類報酬指數,78.32,+,0.59,0.76
觀光類報酬指數,132.38,+,0.85,0.65
金融保險類報酬指數,1212.07,-,13.79,-1.12
貿易百貨類報酬指數,239.47,+,0.96,0.4
油電燃氣類報酬指數,118.96,+,0.96,0.81
其他類報酬指數,311.76,-,0.77,-0.25
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","88565916203","2065067509","819420"
"2.台灣存託憑證","24616838","10030403","1079"
"3.受益憑證","0","0","0"
"4.ETF","8394221259","365486431","54515"
"5.受益證券","1383390","94000","31"
"6.變更交易股票","17106151","7177407","794"
"7.認購(售)權證","2140380090","2414525000","68765"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","88583022354","2072244916","820214"
"總計(1~12)","99143623931","4862380750","944604"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2080(15),168(2)
"下跌(跌停)",3653(56),617(1)
"持平",355,74
"未成交",4130,6
"無比價",1032,10
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月06日
"每日收盤行情("全部")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50          ","28939550","8406","1688039896","59.05","59.05","57.9","58.45","-","0.6","58.4","27","58.45","293","0.00"
="0051  ","中100           ","107150","70","2571127","24.22","24.26","23.79","23.83","-","0.85","23.82","3","23.83","47","0.00"
="0052  ","FB科技          ","299000","12","10715370","36.5","36.5","35.77","35.85","-","1.17","35.85","11","36.19","1","0.00"
="0053  ","寶電子          ","19000","8","473510","25.27","25.27","24.79","24.92","-","0.39","24.79","8","25.02","8","0.00"
="0054  ","台商50          ","8000","6","155680","19.63","19.63","19.29","19.29","-","0.45","19.29","8","19.47","8","0.00"
