

2016年01月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,8995,-,99.9,-1.1
發行量加權股價指數,7742.88,-,81.73,-1.04
臺灣公司治理100指數,4294.08,-,41.57,-0.96
臺灣50指數,5648.29,-,60.18,-1.05
臺灣中型100指數,5618.87,-,55.53,-0.98
臺灣資訊科技指數,6572.75,-,63.02,-0.95
臺灣發達指數,6681.2,-,58.09,-0.86
臺灣高股息指數,4824.75,-,20.05,-0.41
臺灣就業99指數,4762.7,-,47.13,-0.98
臺灣高薪100指數,4237.89,-,42.77,-1
臺灣低波動高股息指數,1185.84,-,10.8,-0.9
未含金融保險股指數,6553.21,-,61.58,-0.93
未含電子股指數,11206.47,-,121.03,-1.07
未含金融電子股指數,9775.7,-,77.47,-0.79
小型股300指數,4836.76,-,75.64,-1.54
水泥窯製類指數,366.77,-,2.89,-0.78
塑膠化工類指數,706.84,-,3.78,-0.53
機電類指數,1714.19,-,18.25,-1.05
水泥類指數,95.53,-,0.71,-0.74
食品類指數,1270.17,+,7.47,0.59
塑膠類指數,204.87,-,0.66,-0.32
紡織纖維類指數,509.03,-,5.34,-1.04
電機機械類指數,132.26,-,2.71,-2.01
電器電纜類指數,27.15,-,0.15,-0.55
化學生技醫療類指數,92.65,-,1.24,-1.32
化學類指數,85.47,-,1.31,-1.51
生技醫療類指數,71.95,-,0.81,-1.11
玻璃陶瓷類指數,32.09,-,0.32,-0.99
造紙類指數,141.27,-,1.13,-0.79
鋼鐵類指數,70.57,-,0.3,-0.42
橡膠類指數,262.9,-,0.88,-0.33
汽車類指數,247.9,-,2.95,-1.18
電子類指數,304.7,-,3.15,-1.02
半導體類指數,100.78,-,1.1,-1.08
電腦及週邊設備類指數,82.03,-,0.45,-0.55
光電類指數,25.69,-,0.74,-2.8
通信網路類指數,112.75,+,0.2,0.18
電子零組件類指數,69.59,-,1.56,-2.19
電子通路類指數,88.64,-,0.21,-0.24
資訊服務類指數,74.59,-,1.23,-1.62
其他電子類指數,72.16,-,0.6,-0.82
建材營造類指數,208.5,-,2.12,-1.01
航運類指數,63.1,-,0.32,-0.5
觀光類指數,108.97,-,0.34,-0.31
金融保險類指數,883.77,-,15.98,-1.78
貿易百貨類指數,187.42,-,2.78,-1.46
油電燃氣類指數,101.3,+,0.1,0.1
其他類指數,223.85,-,5.09,-2.22
臺指日報酬兩倍指數,8884.11,-,189.55,-2.09
臺指日報酬反向一倍指數,10455.65,+,108.08,1.04
電子類兩倍槓桿指數,6477.98,-,135.34,-2.05
電子類反向指數,11947.67,+,121.01,1.02
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9628.22,-,106.94,-1.1
發行量加權股價報酬指數,12256.45,-,129.38,-1.04
臺灣公司治理100報酬指數,4459.3,-,43.16,-0.96
臺灣50報酬指數,9036.1,-,96.27,-1.05
臺灣中型100報酬指數,8394.01,-,82.96,-0.98
臺灣資訊科技報酬指數,9997.95,-,95.86,-0.95
臺灣發達報酬指數,9655.07,-,83.94,-0.86
臺灣高股息報酬指數,8547.18,-,35.52,-0.41
臺灣就業99報酬指數,5623.88,-,55.65,-0.98
臺灣高薪100報酬指數,4455.36,-,44.97,-1
臺灣低波動高股息報酬指數,2445.79,-,22.27,-0.9
未含金融電子股報酬指數,15548.94,-,123.21,-0.79
小型股300報酬指數,4836.76,-,75.64,-1.54
水泥類報酬指數,134.4,-,1.01,-0.75
食品類報酬指數,1510.08,+,8.87,0.59
塑膠類報酬指數,261.44,-,0.84,-0.32
紡織纖維類報酬指數,642.68,-,6.75,-1.04
電機機械類報酬指數,164.81,-,3.37,-2
電器電纜類報酬指數,31.05,-,0.16,-0.51
化學生技醫療類報酬指數,116.3,-,1.56,-1.32
化學類報酬指數,110.13,-,1.7,-1.52
生技醫療類報酬指數,85.69,-,0.97,-1.12
玻璃陶瓷類報酬指數,34.46,-,0.35,-1.01
造紙類報酬指數,168.65,-,1.35,-0.79
鋼鐵類報酬指數,91.04,-,0.38,-0.42
橡膠類報酬指數,327.71,-,1.1,-0.33
汽車類報酬指數,302.36,-,3.59,-1.17
電子類報酬指數,442.9,-,4.57,-1.02
半導體類報酬指數,140.23,-,1.53,-1.08
電腦及週邊設備類報酬指數,124.35,-,0.69,-0.55
光電類報酬指數,31.26,-,0.9,-2.8
通信網路類報酬指數,180.64,+,0.32,0.18
電子零組件類報酬指數,100.06,-,2.24,-2.19
電子通路類報酬指數,139.8,-,0.33,-0.24
資訊服務類報酬指數,119.41,-,1.97,-1.62
其他電子類報酬指數,86.99,-,0.73,-0.83
建材營造類報酬指數,286.5,-,2.91,-1.01
航運類報酬指數,75.98,-,0.4,-0.52
觀光類報酬指數,123.66,-,0.39,-0.31
金融保險類報酬指數,1142.42,-,20.66,-1.78
貿易百貨類報酬指數,227.89,-,3.37,-1.46
油電燃氣類報酬指數,121.79,+,0.12,0.1
其他類報酬指數,297.4,-,6.75,-2.22
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","70273995354","1831668136","709822"
"2.台灣存託憑證","42953309","11754823","1658"
"3.受益憑證","0","0","0"
"4.ETF","9807548149","524263646","77437"
"5.受益證券","2578510","168000","63"
"6.變更交易股票","7280036","4937477","573"
"7.認購(售)權證","1644726410","1904108000","54089"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","70281275390","1836605613","710395"
"總計(1~12)","81779081768","4276900082","843642"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",1838(4),133(2)
"下跌(跌停)",3560(70),669(2)
"持平",362,61
"未成交",4856,9
"無比價",891,3
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月14日
"每日收盤行情("全部")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50          ","15487360","5765","871255829","56.5","56.7","55.85","56.7","-","0.45","56.65","85","56.7","451","0.00"
="0051  ","中100           ","78000","45","1768710","23","23","22.53","22.69","-","0.38","22.69","9","22.86","6","0.00"
="0052  ","FB科技          ","0","0","0","--","--","--","--"," ","0","34.83","1","35.14","10","0.00"
="0053  ","寶電子          ","1000","1","23940","23.94","23.94","23.94","23.94","-","0.51","24.05","8","24.27","8","0.00"
="0054  ","台商50          ","0","0","0","--","--","--","--"," ","0","18.68","8","18.7","2","0.00"
="0055  ","寶金融          ","832020","194","9820540","11.88","11.88","11.72","11.82","-","0.16","11.81","2","11.82","43","0.00"
="0056  ","高股息          ","6619622","2888","135656638","20.62","20.63","20.28","20.6","-","0.13","20.6","104","20.61","3","0.00"
="0057  ","FB摩台          ","0","0","0","--","--","--","--"," ","0","34.67","50","34.75","58","0.00"
="0058  ","FB發達          ","2000","2","65570","32.87","32.87","32.7","32.7","-","0.32","32.86","10","33.09","10","0.00"
="0059  ","FB金融          ","1000","1","27620","27.62","27.62","27.62","27.62","-","0.48","27.39","1","27.65","1","0.00"
="0060  ","新台灣          ","0","0","0","--","--","--","--"," ","0","25.94","10","26.19","8","0.00"
="0061  ","寶滬深          ","11761600","2792","185172610","15.79","16","15.5","15.91","-","0.34","15.91","62","15.93","53","0.00"
="006203","寶摩臺          ","1000","1","26400","26.4","26.4","26.4","26.4","-","0.38","26.33","1","26.53","8","0.00"
="006204","豐臺灣          ","0","0","0","--","--","--","--"," ","0","38.35","15","38.53","15","0.00"
="006205","FB上証          ","9504500","1764","257084450","26.88","27.46","26.69","27.46","-","0.6","27.46","147","27.47","46","0.00"
="006206","元上證          ","2324709","523","59950113","25.87","26.08","25.48","26.08","-","0.5","26.03","10","26.08","11","0.00"
="006207","FH滬深          ","4368017","632","89097998","20.5","20.67","20.1","20.67","-","0.41","20.67","11","20.68","41","0.00"
="006208","FB台50          ","6000","2","192150","32.15","32.15","32","32","-","0.4","31.87","1","32.26","1","0.00"
="00631L","T50正2          ","15462200","3115","238924480","15.41","15.63","15.26","15.58","-","0.31","15.58","145","15.59","103","0.00"
="00632R","T50反1          ","54396173","6348","1164625996","21.5","21.58","21.3","21.32","+","0.21","21.31","197","21.32","174","0.00"
="00633L","上証2X          ","135406105","22222","3667677971","27.17","27.8","26.29","27.8","-","0.78","27.8","222","27.82","3","0.00"
="00634R","上証反          ","22505050","2139","263039720","11.7","11.9","11.55","11.55","+","0.2","11.55","21","11.56","1,112","0.00"
="00635U","元黃金          ","483230","149","8837083","18.24","18.33","18.22","18.32","+","0.17","18.31","20","18.32","44","0.00"
="00636 ","CFA50           ","4112000","341","66186540","16.2","16.25","15.88","16.25","-","0.25","16.25","6","16.27","7","0.00"
="00637L","滬深2X          ","182950000","20054","1830835119","10.05","10.27","9.72","10.27","-","0.3","10.27","1,292","10.28","262","0.00"
="00638R","滬深反          ","5346000","523","116310400","21.85","22.06","21.44","21.44","+","0.31","21.42","260","21.44","358","0.00"
="00639 ","深100           ","6237001","783","61938841","9.99","10.08","9.75","10.08","-","0.13","10.08","42","10.09","2","0.00"
="00640L","日本2X          ","9971000","1337","168723560","17.03","17.16","16.72","17.16","-","1","17.16","169","17.19","200","0.00"
