

2016年02月23日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9702.55,+,11.14,0.11
發行量加權股價指數,8334.64,+,7.96,0.1
臺灣公司治理100指數,4584.8,-,7.64,-0.17
臺灣50指數,6077.6,-,8.67,-0.14
臺灣中型100指數,6085.06,+,1.03,0.02
臺灣資訊科技指數,7306.94,-,38.4,-0.52
臺灣發達指數,7103.52,+,6.93,0.1
臺灣高股息指數,5230.25,-,4.68,-0.09
臺灣就業99指數,5064.01,+,9.15,0.18
臺灣高薪100指數,4523.16,+,1.94,0.04
臺灣低波動高股息指數,1271.16,+,3.56,0.28
未含金融保險股指數,7097.02,+,4.58,0.06
未含電子股指數,11859.18,+,44.45,0.38
未含金融電子股指數,10438.66,+,41.79,0.4
小型股300指數,5306.26,+,40.17,0.76
水泥窯製類指數,394.03,-,0.97,-0.25
塑膠化工類指數,755.94,+,1.33,0.18
機電類指數,1875.01,-,2.21,-0.12
水泥類指數,102.4,-,0.25,-0.24
食品類指數,1351.94,+,1.23,0.09
塑膠類指數,215.88,-,0.54,-0.25
紡織纖維類指數,540.76,+,0.76,0.14
電機機械類指數,148.85,+,0.89,0.6
電器電纜類指數,29.86,+,0.22,0.74
化學生技醫療類指數,102.32,+,1.31,1.3
化學類指數,92.89,+,0.69,0.75
生技醫療類指數,80.81,+,1.48,1.87
玻璃陶瓷類指數,34.9,-,0.09,-0.26
造紙類指數,146.16,+,1.04,0.72
鋼鐵類指數,81.53,+,3.15,4.02
橡膠類指數,287.85,+,1.47,0.51
汽車類指數,245.69,-,0.91,-0.37
電子類指數,332.94,-,0.49,-0.15
半導體類指數,113.03,-,0.62,-0.55
電腦及週邊設備類指數,90.6,-,0.09,-0.1
光電類指數,29.51,+,0.32,1.1
通信網路類指數,116.93,+,0.22,0.19
電子零組件類指數,72.77,-,0.26,-0.36
電子通路類指數,97.61,+,0.5,0.51
資訊服務類指數,81.49,-,0.24,-0.29
其他電子類指數,75.49,+,0.17,0.23
建材營造類指數,216.8,+,0.89,0.41
航運類指數,65.16,-,0.12,-0.18
觀光類指數,109.98,-,1.2,-1.08
金融保險類指數,913.53,+,2.8,0.31
貿易百貨類指數,206.29,+,0.38,0.18
油電燃氣類指數,105.73,+,0.36,0.34
其他類指數,240.01,+,0.98,0.41
臺指日報酬兩倍指數,10271.74,+,19.6,0.19
臺指日報酬反向一倍指數,9692.01,-,9.27,-0.1
電子類兩倍槓桿指數,7716.13,-,22.75,-0.29
電子類反向指數,10908.18,+,16.01,0.15
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10385.59,+,11.93,0.12
發行量加權股價報酬指數,13193.18,+,12.6,0.1
臺灣公司治理100報酬指數,4761.2,-,7.93,-0.17
臺灣50報酬指數,9722.91,-,13.87,-0.14
臺灣中型100報酬指數,9090.46,+,1.55,0.02
臺灣資訊科技報酬指數,11114.74,-,58.41,-0.52
臺灣發達報酬指數,10265.37,+,10.02,0.1
臺灣高股息報酬指數,9265.54,-,8.3,-0.09
臺灣就業99報酬指數,5979.67,+,10.81,0.18
臺灣高薪100報酬指數,4755.27,+,2.04,0.04
臺灣低波動高股息報酬指數,2621.76,+,7.35,0.28
未含金融電子股報酬指數,16603.42,+,66.47,0.4
小型股300報酬指數,5306.26,+,40.17,0.76
水泥類報酬指數,144.06,-,0.36,-0.25
食品類報酬指數,1607.3,+,1.46,0.09
塑膠類報酬指數,275.49,-,0.68,-0.25
紡織纖維類報酬指數,682.74,+,0.96,0.14
電機機械類報酬指數,185.47,+,1.1,0.6
電器電纜類報酬指數,34.14,+,0.24,0.71
化學生技醫療類報酬指數,128.44,+,1.64,1.29
化學類報酬指數,119.7,+,0.89,0.75
生技醫療類報酬指數,96.25,+,1.76,1.86
玻璃陶瓷類報酬指數,37.49,-,0.09,-0.24
造紙類報酬指數,174.49,+,1.24,0.72
鋼鐵類報酬指數,105.17,+,4.06,4.02
橡膠類報酬指數,358.81,+,1.83,0.51
汽車類報酬指數,299.66,-,1.1,-0.37
電子類報酬指數,483.95,-,0.71,-0.15
半導體類報酬指數,157.28,-,0.86,-0.54
電腦及週邊設備類報酬指數,137.35,-,0.14,-0.1
光電類報酬指數,35.91,+,0.39,1.1
通信網路類報酬指數,187.34,+,0.35,0.19
電子零組件類報酬指數,104.64,-,0.36,-0.34
電子通路類報酬指數,153.95,+,0.79,0.52
資訊服務類報酬指數,130.46,-,0.38,-0.29
其他電子類報酬指數,91.01,+,0.21,0.23
建材營造類報酬指數,297.9,+,1.21,0.41
航運類報酬指數,78.47,-,0.14,-0.18
觀光類報酬指數,124.8,-,1.37,-1.09
金融保險類報酬指數,1180.9,+,3.63,0.31
貿易百貨類報酬指數,250.83,+,0.47,0.19
油電燃氣類報酬指數,127.11,+,0.43,0.34
其他類報酬指數,318.85,+,1.29,0.41
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
