

2016年02月22日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9691.41,-,2.58,-0.03
發行量加權股價指數,8326.68,+,1.64,0.02
臺灣公司治理100指數,4592.44,-,7.03,-0.15
臺灣50指數,6086.27,-,2.26,-0.04
臺灣中型100指數,6084.03,+,2.41,0.04
臺灣資訊科技指數,7345.34,+,4.81,0.07
臺灣發達指數,7096.59,-,9.08,-0.13
臺灣高股息指數,5234.93,-,12.13,-0.23
臺灣就業99指數,5054.86,-,11.44,-0.23
臺灣高薪100指數,4521.22,+,3.27,0.07
臺灣低波動高股息指數,1267.6,+,2.92,0.23
未含金融保險股指數,7092.44,+,1.92,0.03
未含電子股指數,11814.73,+,5.97,0.05
未含金融電子股指數,10396.87,+,8.41,0.08
小型股300指數,5266.09,+,19.86,0.38
水泥窯製類指數,395,+,4.53,1.16
塑膠化工類指數,754.61,-,2.32,-0.31
機電類指數,1877.22,+,0.43,0.02
水泥類指數,102.65,+,0.84,0.83
食品類指數,1350.71,-,1.57,-0.12
塑膠類指數,216.42,-,0.79,-0.36
紡織纖維類指數,540,-,2.32,-0.43
電機機械類指數,147.96,+,1.13,0.77
電器電纜類指數,29.64,+,0.22,0.75
化學生技醫療類指數,101.01,-,0.49,-0.48
化學類指數,92.2,+,0.29,0.32
生技醫療類指數,79.33,-,1.04,-1.29
玻璃陶瓷類指數,34.99,+,1.03,3.03
造紙類指數,145.12,+,0.18,0.12
鋼鐵類指數,78.38,+,1.09,1.41
橡膠類指數,286.38,+,0.79,0.28
汽車類指數,246.6,-,1.22,-0.49
電子類指數,333.43,-,0.03,-0.01
半導體類指數,113.65,+,0.09,0.08
電腦及週邊設備類指數,90.69,+,0.16,0.18
光電類指數,29.19,-,0.08,-0.27
通信網路類指數,116.71,-,0.49,-0.42
電子零組件類指數,73.03,-,0.26,-0.35
電子通路類指數,97.11,+,0.79,0.82
資訊服務類指數,81.73,+,0.92,1.14
其他電子類指數,75.32,+,0.14,0.19
建材營造類指數,215.91,+,2.31,1.08
航運類指數,65.28,+,0.91,1.41
觀光類指數,111.18,+,0.03,0.03
金融保險類指數,910.73,-,0.27,-0.03
貿易百貨類指數,205.91,-,1.82,-0.88
油電燃氣類指數,105.37,-,0.9,-0.85
其他類指數,239.03,+,1.53,0.64
臺指日報酬兩倍指數,10252.14,+,4.04,0.04
臺指日報酬反向一倍指數,9701.28,-,1.91,-0.02
電子類兩倍槓桿指數,7738.88,-,1.39,-0.02
電子類反向指數,10892.17,+,0.98,0.01
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10373.66,-,2.76,-0.03
發行量加權股價報酬指數,13180.58,+,2.6,0.02
臺灣公司治理100報酬指數,4769.13,-,7.3,-0.15
臺灣50報酬指數,9736.78,-,3.62,-0.04
臺灣中型100報酬指數,9088.91,+,3.59,0.04
臺灣資訊科技報酬指數,11173.15,+,7.31,0.07
臺灣發達報酬指數,10255.35,-,13.12,-0.13
臺灣高股息報酬指數,9273.84,-,21.48,-0.23
臺灣就業99報酬指數,5968.86,-,13.52,-0.23
臺灣高薪100報酬指數,4753.23,+,3.44,0.07
臺灣低波動高股息報酬指數,2614.41,+,6.02,0.23
未含金融電子股報酬指數,16536.95,+,13.37,0.08
小型股300報酬指數,5266.09,+,19.86,0.38
水泥類報酬指數,144.42,+,1.18,0.82
食品類報酬指數,1605.84,-,1.87,-0.12
塑膠類報酬指數,276.17,-,1.02,-0.37
紡織纖維類報酬指數,681.78,-,2.93,-0.43
電機機械類報酬指數,184.37,+,1.41,0.77
電器電纜類報酬指數,33.9,+,0.25,0.74
化學生技醫療類報酬指數,126.8,-,0.61,-0.48
化學類報酬指數,118.81,+,0.37,0.31
生技醫療類報酬指數,94.49,-,1.24,-1.3
玻璃陶瓷類報酬指數,37.58,+,1.1,3.02
造紙類報酬指數,173.25,+,0.22,0.13
鋼鐵類報酬指數,101.11,+,1.41,1.41
橡膠類報酬指數,356.98,+,0.99,0.28
汽車類報酬指數,300.76,-,1.5,-0.5
電子類報酬指數,484.66,-,0.03,-0.01
半導體類報酬指數,158.14,+,0.12,0.08
電腦及週邊設備類報酬指數,137.49,+,0.24,0.17
光電類報酬指數,35.52,-,0.09,-0.25
通信網路類報酬指數,186.99,-,0.79,-0.42
電子零組件類報酬指數,105,-,0.38,-0.36
電子通路類報酬指數,153.16,+,1.25,0.82
資訊服務類報酬指數,130.84,+,1.47,1.14
其他電子類報酬指數,90.8,+,0.17,0.19
建材營造類報酬指數,296.69,+,3.19,1.09
航運類報酬指數,78.61,+,1.09,1.41
觀光類報酬指數,126.17,+,0.03,0.02
