

2016年03月01日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9862.37,+,88.86,0.91
發行量加權股價指數,8485.69,+,74.53,0.89
臺灣公司治理100指數,4666.93,+,38.63,0.83
臺灣50指數,6186.22,+,49.75,0.81
臺灣中型100指數,6205.52,+,59.06,0.96
臺灣資訊科技指數,7431.21,+,86.01,1.17
臺灣發達指數,7258.86,+,62.51,0.87
臺灣高股息指數,5344.83,+,25.02,0.47
臺灣就業99指數,5143.11,+,21.01,0.41
臺灣高薪100指數,4591.8,+,22.38,0.49
臺灣低波動高股息指數,1297.38,+,3.46,0.27
未含金融保險股指數,7234.64,+,74.11,1.03
未含電子股指數,12070.09,+,63.26,0.53
未含金融電子股指數,10657.17,+,81.91,0.77
小型股300指數,5408.1,+,67.48,1.26
水泥窯製類指數,400.91,+,0.95,0.24
塑膠化工類指數,779.75,+,5.85,0.76
機電類指數,1910,+,23.05,1.22
水泥類指數,103.92,-,0.28,-0.27
食品類指數,1367.74,+,1.81,0.13
塑膠類指數,224.04,+,1.8,0.81
紡織纖維類指數,539.51,-,2.35,-0.43
電機機械類指數,152.4,+,2.44,1.63
電器電纜類指數,30.73,+,0.72,2.4
化學生技醫療類指數,103.31,+,0.76,0.74
化學類指數,94.97,+,1.12,1.19
生技醫療類指數,80.52,+,0.21,0.26
玻璃陶瓷類指數,36.01,+,1.08,3.09
造紙類指數,146.6,+,0.73,0.5
鋼鐵類指數,82.3,-,0.05,-0.06
橡膠類指數,297.97,+,1.46,0.49
汽車類指數,247.84,-,0.62,-0.25
電子類指數,339.07,+,4.02,1.2
半導體類指數,114.74,+,1.46,1.29
電腦及週邊設備類指數,92.23,+,0.69,0.75
光電類指數,30.72,+,0.9,3.02
通信網路類指數,119.08,+,1.23,1.04
電子零組件類指數,73.85,+,0.92,1.26
電子通路類指數,98.75,-,0.26,-0.26
資訊服務類指數,82.57,+,0.68,0.83
其他電子類指數,77.06,+,0.45,0.59
建材營造類指數,223.55,+,4.93,2.26
航運類指數,66.28,+,0.68,1.04
觀光類指數,110.07,+,0.4,0.36
金融保險類指數,922.14,-,1.23,-0.13
貿易百貨類指數,207.68,-,0.51,-0.24
油電燃氣類指數,110.29,+,2.31,2.14
其他類指數,242.32,+,2.18,0.91
臺指日報酬兩倍指數,10644.83,+,185.36,1.77
臺指日報酬反向一倍指數,9517.14,-,85.08,-0.89
電子類兩倍槓桿指數,7999.78,+,187.47,2.4
電子類反向指數,10706.76,-,130.02,-1.2
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10556.66,+,95.12,0.91
發行量加權股價報酬指數,13432.27,+,117.97,0.89
臺灣公司治理100報酬指數,4846.49,+,40.11,0.83
臺灣50報酬指數,9896.69,+,79.6,0.81
臺灣中型100報酬指數,9270.41,+,88.23,0.96
臺灣資訊科技報酬指數,11303.76,+,130.83,1.17
臺灣發達報酬指數,10489.86,+,90.33,0.87
臺灣高股息報酬指數,9468.53,+,44.32,0.47
臺灣就業99報酬指數,6073.07,+,24.81,0.41
臺灣高薪100報酬指數,4827.44,+,23.54,0.49
臺灣低波動高股息報酬指數,2675.84,+,7.15,0.27
未含金融電子股報酬指數,16950.97,+,130.28,0.77
小型股300報酬指數,5408.1,+,67.48,1.26
水泥類報酬指數,146.21,-,0.4,-0.27
食品類報酬指數,1626.08,+,2.15,0.13
塑膠類報酬指數,285.9,+,2.3,0.81
紡織纖維類報酬指數,681.16,-,2.97,-0.43
電機機械類報酬指數,189.9,+,3.04,1.63
電器電纜類報酬指數,35.14,+,0.82,2.39
化學生技醫療類報酬指數,129.68,+,0.95,0.74
化學類報酬指數,122.38,+,1.44,1.19
生技醫療類報酬指數,95.91,+,0.26,0.27
玻璃陶瓷類報酬指數,38.67,+,1.15,3.07
造紙類報酬指數,175.01,+,0.88,0.51
鋼鐵類報酬指數,106.16,-,0.07,-0.07
橡膠類報酬指數,371.42,+,1.82,0.49
汽車類報酬指數,302.28,-,0.76,-0.25
電子類報酬指數,492.86,+,5.85,1.2
半導體類報酬指數,159.65,+,2.03,1.29
電腦及週邊設備類報酬指數,139.82,+,1.04,0.75
光電類報酬指數,37.39,+,1.1,3.03
通信網路類報酬指數,190.79,+,1.97,1.04
電子零組件類報酬指數,106.18,+,1.32,1.26
電子通路類報酬指數,155.74,-,0.41,-0.26
資訊服務類報酬指數,132.18,+,1.08,0.82
其他電子類報酬指數,92.9,+,0.55,0.6
建材營造類報酬指數,307.18,+,6.77,2.25
航運類報酬指數,79.82,+,0.83,1.05
觀光類報酬指數,124.92,+,0.46,0.37
金融保險類報酬指數,1192.03,-,1.59,-0.13
貿易百貨類報酬指數,252.53,-,0.61,-0.24
油電燃氣類報酬指數,132.59,+,2.77,2.13
其他類報酬指數,321.93,+,2.9,0.91
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","83436793240","1995448969","798461"
"2.台灣存託憑證","31483702","7391024","1260"
"3.受益憑證","0","0","0"
"4.ETF","7657859858","414654945","59285"
"5.受益證券","24590430","1393000","47"
"6.變更交易股票","4987448","2867292","500"
"7.認購(售)權證","1920304830","1922417000","54609"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","83441780688","1998316261","798961"
"總計(1~12)","93076019508","4344172230","914162"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2949(15),577(11)
"下跌(跌停)",2202(33),205(1)
"持平",450,83
"未成交",4008,5
"無比價",1005,5
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年03月01日
"每日收盤行情("全部")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50          ","17236846","3170","1063544724","61.25","61.95","61.1","61.85","+","0.6","61.85","85","61.9","88","0.00"
="0051  ","中100           ","58096","41","1441098","24.32","24.96","24.32","24.96","+","0.36","24.86","10","24.96","3","0.00"
="0052  ","FB科技          ","12000","6","471560","39.2","39.6","39.16","39.54","+","0.28","39.42","10","39.79","1","0.00"
="0053  ","寶電子          ","10000","8","266900","26.5","26.86","26.5","26.79","+","0.44","26.79","8","26.86","1","0.00"
="0054  ","台商50          ","13000","4","262860","20.15","20.36","20.15","20.25","+","0.1","20.27","8","20.46","8","0.00"
="0055  ","寶金融          ","388000","98","4741390","12.16","12.27","12.16","12.26","+","0.04","12.26","7","12.27","2","0.00"
="0056  ","高股息          ","2615903","1121","59076953","22.49","22.67","22.49","22.63","+","0.14","22.63","131","22.64","2","0.00"
="0057  ","FB摩台          ","59000","8","2244340","37.94","38.17","37.86","38.17","+","0.1","38.24","50","38.33","58","0.00"
="0058  ","FB發達          ","6000","5","212770","35.41","35.58","35.41","35.58","X","0","35.69","10","35.94","10","0.00"
="0059  ","FB金融          ","5000","3","143060","28.5","28.64","28.5","28.64","-","0.01","28.6","1","28.87","2","0.00"
="0061  ","寶滬深          ","14367500","2655","215571784","15.05","15.12","14.92","14.94","-","0.06","14.94","25","14.95","25","0.00"
="006203","寶摩臺          ","0","0","0","--","--","--","--"," ","0","29.01","10","29.27","8","0.00"
="006204","豐臺灣          ","2000","2","83610","41.8","41.81","41.8","41.81","+","0.31","41.81","14","42","3","0.00"
="006205","FB上証          ","14606000","2659","373223710","25.67","25.82","25.41","25.41","-","0.33","25.41","70","25.42","54","0.00"
="006206","元上證          ","2909123","447","70396516","24.03","24.32","24.03","24.12","-","0.11","24.1","3","24.12","6","0.00"
="006207","FH滬深          ","6021000","993","116026960","19.57","19.63","19.11","19.16","-","0.35","19.15","85","19.16","21","0.00"
="006208","FB台50          ","8000","4","278560","34.82","34.82","34.82","34.82"," ","0","34.75","1","35.36","2","0.00"
="00631L","T50正2          ","9492040","1642","176697945","18.36","18.81","18.3","18.8","+","0.42","18.8","20","18.81","143","0.00"
="00632R","T50反1          ","58824827","11208","1135767783","19.48","19.49","19.21","19.26","-","0.2","19.25","191","19.26","249","0.00"
="00633L","上証2X          ","79926506","12391","2011873285","25.3","25.47","24.95","24.95","-","0.18","24.95","550","24.96","13","0.00"
="00634R","上証反          ","2812000","349","33104550","11.74","11.83","11.71","11.81","+","0.01","11.8","202","11.81","89","0.00"
="00635U","元黃金          ","1709000","397","35498970","20.74","20.84","20.67","20.8","+","0.13","20.79","17","20.8","60","0.00"
="00636 ","CFA50           ","2156000","282","32720870","15.2","15.37","15.12","15.14","-","0.04","15.13","6","15.14","39","0.00"
="00637L","滬深2X          ","127523743","10674","1194354017","9.4","9.46","9.29","9.29","-","0.06","9.29","1,362","9.3","1,034","0.00"
="00638R","滬深反          ","1089000","108","23728970","21.75","21.9","21.72","21.9","+","0.05","21.86","293","21.9","69","0.00"
="00639 ","深100           ","5974300","995","56545434","9.71","9.71","9.38","9.39","-","0.23","9.38","109","9.42","7","0.00"
="00640L","日本2X          ","10368200","1739","140910160","13.7","13.81","13.41","13.6","-","0.36","13.6","39","13.62","4","0.00"
="00641R","日本反          ","2062000","396","45521170","21.9","22.23","21.9","22.05","+","0.21","22.05","4","22.07","53","0.00"
="00642U","元石油          ","42942760","6591","657948941","15.33","15.37","15.27","15.35","+","0.24","15.35","46","15.36","429","0.00"
="00643 ","深中小          ","2664000","410","39095290","14.81","14.81","14.55","14.57","-","0.14","14.56","10","14.57","15","0.00"
="00645 ","FB日本          ","774000","130","12743470","16.62","16.62","16.32","16.43","-","0.23","16.43","102","16.44","2","0.00"
="00646 ","S&P500          ","1305000","135","24817900","19.15","19.15","18.98","18.99","-","0.22","18.99","59","19","9","0.00"
="00647L","S&P正2          ","2694001","142","47824278","17.8","17.95","17.71","17.76","-","0.46","17.75","2","17.76","324","0.00"
="00648R","S&P反1          ","2879000","243","61209150","21.2","21.33","21.19","21.28","+","0.22","21.25","205","21.28","83","0.00"
="00649 ","FH香港          ","222000","28","3239560","14.6","14.63","14.53","14.54","-","0.06","14.54","54","14.56","50","0.00"
