

2016年01月28日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9192.31,+,66.24,0.73
發行量加權股價指數,7905.1,+,55.27,0.7
臺灣公司治理100指數,4363.59,+,28.24,0.65
臺灣50指數,5751.32,+,36.69,0.64
臺灣中型100指數,5803.57,+,81.69,1.43
臺灣資訊科技指數,6897.31,+,39.49,0.58
臺灣發達指數,6773.72,+,65.69,0.98
臺灣高股息指數,4953.69,+,59.22,1.21
臺灣就業99指數,4813.58,+,39.97,0.84
臺灣高薪100指數,4290.2,+,35.29,0.83
臺灣低波動高股息指數,1187.13,+,12.63,1.08
未含金融保險股指數,6736.48,+,46.14,0.69
未含電子股指數,11236.23,+,94.43,0.85
未含金融電子股指數,9906.89,+,84.91,0.86
小型股300指數,5010.28,+,27.91,0.56
水泥窯製類指數,361.46,+,2.21,0.62
塑膠化工類指數,716.84,+,6.01,0.85
機電類指數,1779.2,+,10.81,0.61
水泥類指數,93.46,+,0.73,0.79
食品類指數,1310.57,+,21.65,1.68
塑膠類指數,205.5,+,1.47,0.72
紡織纖維類指數,519.16,+,6.47,1.26
電機機械類指數,140.23,+,2.12,1.54
電器電纜類指數,27.55,+,0.08,0.29
化學生技醫療類指數,97.05,+,0.85,0.88
化學類指數,88.41,+,0.94,1.07
生技醫療類指數,76.37,+,0.51,0.67
玻璃陶瓷類指數,32.9,-,0.09,-0.27
造紙類指數,141.39,+,0.13,0.09
鋼鐵類指數,71.75,-,0.08,-0.11
橡膠類指數,267.68,+,3.8,1.44
汽車類指數,238.92,+,1.05,0.44
電子類指數,316.06,+,1.83,0.58
半導體類指數,106.09,+,0.75,0.71
電腦及週邊設備類指數,85.87,+,0.41,0.48
光電類指數,27.61,+,0.5,1.84
通信網路類指數,114.73,+,0.08,0.07
電子零組件類指數,69.37,+,0.23,0.33
電子通路類指數,90.18,+,0.59,0.66
資訊服務類指數,78.79,+,0.71,0.91
其他電子類指數,72.71,+,0.14,0.19
建材營造類指數,203.68,+,1.58,0.78
航運類指數,62.41,+,0.48,0.78
觀光類指數,109.81,+,0.89,0.82
金融保險類指數,862.02,+,6.87,0.8
貿易百貨類指數,199.56,+,2.87,1.46
油電燃氣類指數,102.56,-,0.22,-0.21
其他類指數,225.7,+,3.53,1.59
臺指日報酬兩倍指數,9250.27,+,128.45,1.41
臺指日報酬反向一倍指數,10230.06,-,72.54,-0.7
電子類兩倍槓桿指數,6960.04,+,80.13,1.16
電子類反向指數,11501.84,-,67.38,-0.58
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9839.43,+,70.91,0.73
發行量加權股價報酬指數,12513.24,+,87.49,0.7
臺灣公司治理100報酬指數,4531.48,+,29.32,0.65
臺灣50報酬指數,9200.94,+,58.7,0.64
臺灣中型100報酬指數,8669.94,+,122.04,1.43
臺灣資訊科技報酬指數,10491.64,+,60.07,0.58
臺灣發達報酬指數,9788.78,+,94.93,0.98
臺灣高股息報酬指數,8775.6,+,104.9,1.21
臺灣就業99報酬指數,5683.96,+,47.19,0.84
臺灣高薪100報酬指數,4510.35,+,37.1,0.83
臺灣低波動高股息報酬指數,2448.44,+,26.05,1.08
未含金融電子股報酬指數,15757.6,+,135.05,0.86
小型股300報酬指數,5010.28,+,27.91,0.56
水泥類報酬指數,131.49,+,1.02,0.78
食品類報酬指數,1558.12,+,25.74,1.68
塑膠類報酬指數,262.24,+,1.87,0.72
紡織纖維類報酬指數,655.47,+,8.17,1.26
電機機械類報酬指數,174.74,+,2.64,1.53
電器電纜類報酬指數,31.51,+,0.1,0.32
化學生技醫療類報酬指數,121.83,+,1.07,0.89
化學類報酬指數,113.93,+,1.22,1.08
生技醫療類報酬指數,90.97,+,0.62,0.69
玻璃陶瓷類報酬指數,35.34,-,0.09,-0.25
造紙類報酬指數,168.79,+,0.15,0.09
鋼鐵類報酬指數,92.55,-,0.11,-0.12
橡膠類報酬指數,333.66,+,4.73,1.44
汽車類報酬指數,291.4,+,1.28,0.44
電子類報酬指數,459.4,+,2.65,0.58
半導體類報酬指數,147.62,+,1.05,0.72
電腦及週邊設備類報酬指數,130.17,+,0.61,0.47
光電類報酬指數,33.6,+,0.61,1.85
通信網路類報酬指數,183.81,+,0.13,0.07
電子零組件類報酬指數,99.75,+,0.34,0.34
電子通路類報酬指數,142.22,+,0.92,0.65
資訊服務類報酬指數,126.14,+,1.15,0.92
其他電子類報酬指數,87.66,+,0.17,0.19
建材營造類報酬指數,279.87,+,2.17,0.78
航運類報酬指數,75.16,+,0.58,0.78
觀光類報酬指數,124.62,+,1.01,0.82
金融保險類報酬指數,1114.31,+,8.88,0.8
貿易百貨類報酬指數,242.64,+,3.48,1.46
油電燃氣類報酬指數,123.3,-,0.27,-0.22
其他類報酬指數,299.85,+,4.7,1.59
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","70647069188","1860318707","653710"
"2.台灣存託憑證","12853813","3866638","837"
"3.受益憑證","0","0","0"
"4.ETF","6730537914","376290679","53380"
"5.受益證券","437110770","31006000","188"
"6.變更交易股票","4927491","2184835","473"
"7.認購(售)權證","1818614900","1952070000","48637"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","70651996679","1862503542","654183"
"總計(1~12)","79651114076","4225736859","757225"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2719(9),539(9)
"下跌(跌停)",2250(30),209(1)
"持平",512,112
"未成交",5246,6
"無比價",1038,9
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月28日
"每日收盤行情("全部")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50          ","10224860","3285","588123466","57.15","57.75","57","57.55","+","0.3","57.5","196","57.55","18","0.00"
="0051  ","中100           ","8000","8","187690","23.32","23.52","23.32","23.52","+","0.2","23.5","1","23.52","5","0.00"
="0052  ","FB科技          ","1000","1","36700","36.7","36.7","36.7","36.7","+","0.07","36.76","10","37.06","1","0.00"
="0053  ","寶電子          ","20000","15","498360","24.89","24.95","24.86","24.86","-","0.07","24.88","8","25","3","0.00"
="0054  ","台商50          ","0","0","0","--","--","--","--"," ","0","18.92","8","19.1","8","0.00"
="0055  ","寶金融          ","266000","156","3067410","11.32","11.6","11.32","11.54","+","0.18","11.51","3","11.54","2","0.00"
="0056  ","高股息          ","1553619","782","32527193","20.81","21.01","20.81","21.01","+","0.2","21","107","21.01","5","0.00"
="0057  ","FB摩台          ","0","0","0","--","--","--","--"," ","0","35.53","50","35.61","58","0.00"
="0058  ","FB發達          ","0","0","0","--","--","--","--"," ","0","33.41","10","33.65","10","0.00"
="0059  ","FB金融          ","1000","1","26840","26.84","26.84","26.84","26.84","-","0.06","26.82","1","27.07","2","0.00"
="0060  ","新台灣          ","19010","7","488815","25.56","25.8","25.56","25.72","+","0.17","25.68","10","25.8","3","0.00"
="0061  ","寶滬深          ","7294000","1800","108280529","14.88","14.94","14.72","14.77","+","0.03","14.77","34","14.78","95","0.00"
="006203","寶摩臺          ","0","0","0","--","--","--","--"," ","0","26.97","10","27.22","8","0.00"
="006204","豐臺灣          ","1000","1","39300","39.3","39.3","39.3","39.3","X","0","39.16","15","39.3","2","0.00"
="006205","FB上証          ","6160250","1373","158307990","25.78","25.89","25.4","25.4","-","0.12","25.39","3","25.4","13","0.00"
="006206","元上證          ","1395481","328","34029543","24.36","24.56","24.23","24.23","+","0.04","24.23","2","24.27","50","0.00"
="006207","FH滬深          ","3970000","545","76526590","19.27","19.36","19.12","19.16","-","0.05","19.15","39","19.16","52","0.00"
="006208","FB台50          ","10000","1","329000","32.9","32.9","32.9","32.9","X","0","32.5","1","32.85","1","0.00"
="00631L","T50正2          ","15220487","2497","246198438","15.92","16.33","15.9","16.18","+","0.19","16.17","403","16.18","94","0.00"
="00632R","T50反1          ","32045149","4479","667021512","20.99","20.99","20.7","20.8","-","0.14","20.8","323","20.81","28","0.00"
