

2016年01月29日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9391.27,+,198.96,2.16
發行量加權股價指數,8080.6,+,175.5,2.22
臺灣公司治理100指數,4466.4,+,102.81,2.36
臺灣50指數,5902.97,+,151.65,2.64
臺灣中型100指數,5934.72,+,131.15,2.26
臺灣資訊科技指數,7028.16,+,130.85,1.9
臺灣發達指數,6952.47,+,178.75,2.64
臺灣高股息指數,5044.55,+,90.86,1.83
臺灣就業99指數,4920.67,+,107.09,2.22
臺灣高薪100指數,4398.27,+,108.07,2.52
臺灣低波動高股息指數,1218.1,+,30.97,2.61
未含金融保險股指數,6868.42,+,131.94,1.96
未含電子股指數,11514.3,+,278.07,2.47
未含金融電子股指數,10094.26,+,187.37,1.89
小型股300指數,5069.71,+,59.43,1.19
水泥窯製類指數,369.82,+,8.36,2.31
塑膠化工類指數,729.88,+,13.04,1.82
機電類指數,1814.21,+,35.01,1.97
水泥類指數,96,+,2.54,2.72
食品類指數,1317.42,+,6.85,0.52
塑膠類指數,209.84,+,4.34,2.11
紡織纖維類指數,538.5,+,19.34,3.73
電機機械類指數,141.88,+,1.65,1.18
電器電纜類指數,27.78,+,0.23,0.83
化學生技醫療類指數,98.15,+,1.1,1.13
化學類指數,89.23,+,0.82,0.93
生技醫療類指數,77.4,+,1.03,1.35
玻璃陶瓷類指數,32.95,+,0.05,0.15
造紙類指數,141.91,+,0.52,0.37
鋼鐵類指數,72.3,+,0.55,0.77
橡膠類指數,271.58,+,3.9,1.46
汽車類指數,246.43,+,7.51,3.14
電子類指數,322.38,+,6.32,2
半導體類指數,108.22,+,2.13,2.01
電腦及週邊設備類指數,86.93,+,1.06,1.23
光電類指數,28.24,+,0.63,2.28
通信網路類指數,115.27,+,0.54,0.47
電子零組件類指數,71.31,+,1.94,2.8
電子通路類指數,91.77,+,1.59,1.76
資訊服務類指數,79.24,+,0.45,0.57
其他電子類指數,75.35,+,2.64,3.63
建材營造類指數,206.35,+,2.67,1.31
航運類指數,62.93,+,0.52,0.83
觀光類指數,111.27,+,1.46,1.33
金融保險類指數,896.59,+,34.57,4.01
貿易百貨類指數,201.04,+,1.48,0.74
油電燃氣類指數,104.95,+,2.39,2.33
其他類指數,233.15,+,7.45,3.3
臺指日報酬兩倍指數,9661,+,410.73,4.44
臺指日報酬反向一倍指數,10002.94,-,227.12,-2.22
電子類兩倍槓桿指數,7238.39,+,278.35,4
電子類反向指數,11271.85,-,229.99,-2
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10052.39,+,212.96,2.16
發行量加權股價報酬指數,12791.05,+,277.81,2.22
臺灣公司治理100報酬指數,4638.25,+,106.77,2.36
臺灣50報酬指數,9443.53,+,242.59,2.64
臺灣中型100報酬指數,8865.87,+,195.93,2.26
臺灣資訊科技報酬指數,10690.68,+,199.04,1.9
臺灣發達報酬指數,10047.09,+,258.31,2.64
臺灣高股息報酬指數,8936.57,+,160.97,1.83
臺灣就業99報酬指數,5810.42,+,126.46,2.22
臺灣高薪100報酬指數,4623.98,+,113.63,2.52
臺灣低波動高股息報酬指數,2512.31,+,63.87,2.61
未含金融電子股報酬指數,16055.62,+,298.02,1.89
小型股300報酬指數,5069.71,+,59.43,1.19
水泥類報酬指數,135.07,+,3.58,2.72
食品類報酬指數,1566.26,+,8.14,0.52
塑膠類報酬指數,267.78,+,5.54,2.11
紡織纖維類報酬指數,679.88,+,24.41,3.72
電機機械類報酬指數,176.79,+,2.05,1.17
電器電纜類報酬指數,31.77,+,0.26,0.83
化學生技醫療類報酬指數,123.21,+,1.38,1.13
化學類報酬指數,114.99,+,1.06,0.93
生技醫療類報酬指數,92.19,+,1.22,1.34
玻璃陶瓷類報酬指數,35.39,+,0.05,0.14
造紙類報酬指數,169.41,+,0.62,0.37
鋼鐵類報酬指數,93.26,+,0.71,0.77
橡膠類報酬指數,338.52,+,4.86,1.46
汽車類報酬指數,300.57,+,9.17,3.15
電子類報酬指數,468.59,+,9.19,2
半導體類報酬指數,150.58,+,2.96,2.01
電腦及週邊設備類報酬指數,131.78,+,1.61,1.24
光電類報酬指數,34.36,+,0.76,2.26
通信網路類報酬指數,184.68,+,0.87,0.47
電子零組件類報酬指數,102.53,+,2.78,2.79
電子通路類報酬指數,144.74,+,2.52,1.77
資訊服務類報酬指數,126.86,+,0.72,0.57
其他電子類報酬指數,90.84,+,3.18,3.63
建材營造類報酬指數,283.55,+,3.68,1.31
航運類報酬指數,75.78,+,0.62,0.82
觀光類報酬指數,126.27,+,1.65,1.32
金融保險類報酬指數,1158.99,+,44.68,4.01
貿易百貨類報酬指數,244.45,+,1.81,0.75
油電燃氣類報酬指數,126.18,+,2.88,2.34
其他類報酬指數,309.75,+,9.9,3.3
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","99801458487","2615569663","836428"
"2.台灣存託憑證","19859830","5618806","1018"
"3.受益憑證","0","0","0"
"4.ETF","10951467117","600026541","88764"
"5.受益證券","269439270","19105000","198"
"6.變更交易股票","6632396","2987005","486"
"7.認購(售)權證","2414661880","2643892000","64106"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","99808090883","2618556668","836914"
"總計(1~12)","113463518980","5887199015","991000"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",3552(7),624(7)
"下跌(跌停)",1936(51),174(4)
"持平",302,69
"未成交",4641,4
"無比價",1299,4
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月29日
"每日收盤行情("全部")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50          ","20207611","7319","1180203349","57.5","59.1","57.25","59","+","1.45","58.95","815","59","52","0.00"
="0051  ","中100           ","52000","40","1222650","22.91","23.89","22.91","23.75","+","0.23","23.8","1","23.88","2","0.00"
="0052  ","FB科技          ","1000","1","37450","37.45","37.45","37.45","37.45","+","0.75","37.02","10","37.33","1","0.00"
="0053  ","寶電子          ","16000","11","403430","25.07","25.37","25.07","25.37","+","0.51","25.5","8","25.75","8","0.00"
="0054  ","台商50          ","2000","2","38460","19.05","19.41","19.05","19.41","X","0","19.52","8","19.65","1","0.00"
="0055  ","寶金融          ","1196000","387","14133240","11.56","11.99","11.51","11.91","+","0.37","11.91","22","11.92","23","0.00"
="0056  ","高股息          ","3210291","1298","68172310","21.01","21.44","21","21.34","+","0.33","21.29","3","21.34","23","0.00"
="0057  ","FB摩台          ","53000","4","1909770","36.07","36.52","36.02","36.52","X","0","36.5","50","36.6","59","0.00"
="0058  ","FB發達          ","0","0","0","--","--","--","--"," ","0","34.01","10","34.25","10","0.00"
="0059  ","FB金融          ","5000","3","134910","26.88","27.3","26.88","27.3","+","0.46","27.63","1","27.8","1","0.00"
="0060  ","新台灣          ","24010","8","620078","25.6","26.26","25.6","26.26","+","0.54","26.45","10","26.7","9","0.00"
="0061  ","寶滬深          ","22312067","5568","331989915","14.7","14.99","14.7","14.98","+","0.21","14.98","12","14.99","25","0.00"
="006203","寶摩臺          ","1000","1","27680","27.68","27.68","27.68","27.68","X","0","27.79","10","28.04","8","0.00"
="006204","豐臺灣          ","20000","7","796720","39.92","39.92","39.83","39.83","+","0.53","39.83","1","39.99","15","0.00"
="006205","FB上証          ","12621999","2089","323696404","25.39","25.97","25.29","25.94","+","0.54","25.94","31","25.95","208","0.00"
="006206","元上證          ","2824294","553","69149761","24.15","24.75","24.15","24.66","+","0.43","24.66","191","24.69","6","0.00"
="006207","FH滬深          ","4840265","748","92918927","19","19.45","18.94","19.38","+","0.22","19.38","106","19.39","3","0.00"
="006208","FB台50          ","6000","5","199650","32.9","33.38","32.9","33.25","+","0.35","33","1","33.51","2","0.00"
="00631L","T50正2          ","28442300","4996","473451455","16.09","17.01","16.04","16.92","+","0.74","16.92","510","16.93","13","0.00"
="00632R","T50反1          ","64797319","10139","1328617326","20.89","20.9","20.26","20.3","-","0.5","20.3","332","20.31","66","0.00"
="00633L","上証2X          ","131618676","19864","3305249351","24.39","25.65","24.29","25.53","+","1.23","25.52","71","25.53","23","0.00"
="00634R","上証反          ","10008796","1150","119618698","12.18","12.22","11.82","11.85","-","0.32","11.85","1,700","11.86","109","0.00"
="00635U","元黃金          ","518000","182","9689290","18.71","18.76","18.61","18.7","-","0.13","18.69","2","18.7","11","0.00"
="00636 ","CFA50           ","5098240","408","78109726","15.18","15.49","15.15","15.44","+","0.26","15.4","1","15.44","6","0.00"
="00637L","滬深2X          ","175046500","15591","1633011499","9.01","9.53","9.01","9.48","+","0.44","9.47","1,649","9.48","185","0.00"
="00638R","滬深反          ","4143900","409","92938277","22.75","22.82","22.11","22.24","-","0.51","22.22","11","22.24","957","0.00"
="00639 ","深100           ","5426000","1143","50846530","9.34","9.52","9.24","9.5","+","0.16","9.5","3","9.51","12","0.00"
="00640L","日本2X          ","17050823","2708","290670545","16.76","17.9","16.34","17.42","+","0.38","17.42","168","17.44","9","0.00"
="00641R","日本反          ","6955000","773","144866720","21.09","21.28","20.34","20.63","-","0.27","20.6","59","20.63","138","0.00"
="00642U","元石油          ","46349649","9720","722977186","15.5","15.72","15.5","15.69","+","0.62","15.69","224","15.7","267","0.00"
="00643 ","深中小          ","4743200","688","68301698","14.32","14.55","14.2","14.52","+","0.14","14.52","55","14.53","6","0.00"
="00645 ","FB日本          ","4283000","268","76491790","17.74","18.31","17.5","18.1","+","0.21","18.08","203","18.12","100","0.00"
="00646 ","S&P500          ","2933005","145","55427157","18.85","19.01","18.81","18.96","+","0.13","18.95","317","18.98","160","0.00"
="00647L","S&P正2          ","5558196","305","96143305","17.2","17.51","17.1","17.43","+","0.25","17.42","4","17.43","96","0.00"
="00648R","S&P反1          ","3272000","355","71661380","22.04","22.07","21.73","21.79","-","0.25","21.78","2","21.79","164","0.00"
="00649 ","FH香港          ","6705000","757","100527300","14.8","15.09","14.76","15.02","+","0.26","15.02","169","15.03","6","0.00"
="00650L","香港2X          ","7426000","879","112829210","14.8","15.46","14.64","15.35","+","0.74","15.35","139","15.37","2","0.00"
="00651R","香港反          ","2246000","209","33488030","15","15.14","14.7","14.76","-","0.38","14.75","1","14.76","200","0.00"
="008201","上證50          ","12400","31","895940","72","73.4","71.55","73.4","+","0.9","73.35","4","73.4","6","0.00"
="01001T","富邦R1          ","0","0","0","--","--","--","--"," ","0","15.75","2","15.9","5","0.00"
="01002T","國泰R1          ","99000","17","1669230","16.85","16.96","16.83","16.96","+","0.15","16.9","2","16.97","2","0.00"
="01003T","新光R1          ","18939000","168","266869930","14.1","14.1","14.02","14.09","-","0.01","14.05","1","14.09","400","0.00"
="01004T","富邦R2          ","44000","9","547900","12.45","12.46","12.45","12.45"," ","0","12.44","30","12.54","6","0.00"
="01007T","國泰R2          ","23000","4","352210","15.32","15.47","15.3","15.47","-","0.03","15.35","1","15.47","9","0.00"
="03001X","元展01          ","0","0","0","--","--","--","--"," ","0","60.5","10","61.5","10","103"
="03003X","元展03          ","111000","6","5262400","47.5","47.5","47.2","47.5","+","1.3","48","10","48.3","10","143"
="03004X","元展04          ","0","0","0","--","--","--","--"," ","0","5.9","10","6","10","17.75"
="03005X","元展05          ","18000","6","168850","9.1","9.85","9.1","9.85","+","0.8","9.95","10","10.1","10","21.15"
="03006X","元展06          ","92000","51","1261000","12.7","14.6","12.7","13.7","+","0.8","13.6","12","13.7","8","36.45"
="030071","統一K8          ","569000","6","5690","0.01","0.01","0.01","0.01"," ","0","0.01","10","0.02","103","59"
="03007X","元展07          ","63000","5","438800","6.45","7.05","6.45","6.9","+","0.75","7","10","7.1","10","15.55"
="03009X","元展09          ","0","0","0","--","--","--","--"," ","0","13.6","10","13.8","10","23.5"
="03010X","元展10          ","13000","11","341800","26","26.7","26","26.6","+","1.3","--","0","29","2","77.8"
="03011X","元展11          ","82000","8","122520","1.39","1.63","1.34","1.61","+","0.2","1.59","10","1.6","10","6.36"
="03012X","元展12          ","47000","5","246600","5.1","5.55","5.1","5.55","+","0.87","5.5","10","5.55","40","36.1"
="03013X","元展13          ","130000","4","385150","2.92","3.17","2.92","3.17","+","0.4","2.97","10","3.02","10","10.75"
="03014X","元展14          ","12000","6","88800","7.2","7.6","7.2","7.5","+","0.55","7.45","10","7.6","2","15.15"
="03015X","元展15          ","5000","1","44000","8.8","8.8","8.8","8.8","+","0.6","8.95","10","9.05","10","17.2"
="030160","國泰HI          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","40","17.1"
="03016X","元展16          ","195000","12","260160","1.29","1.44","1.29","1.4","+","0.13","1.4","10","1.41","10","7.94"
="03017X","元展17          ","648000","28","693020","0.99","1.23","0.98","1.22","+","0.26","1.22","9","1.23","10","8.9"
="03018X","元展18          ","50000","6","86520","1.65","1.82","1.65","1.79","+","0.13","1.77","10","1.81","20","14.8"
="03019X","元展19          ","126000","9","210160","1.63","1.75","1.63","1.73","+","0.16","1.73","9","1.75","10","13.8"
="03020X","元展20          ","49000","1","100450","2.05","2.05","2.05","2.05","X","0","2.24","10","2.26","10","16.6"
="030216","國泰HV          ","0","0","0","--","--","--","--"," ","0","4.09","30","--","0","50.5"
="03021X","元展21          ","40000","6","299700","7.2","7.8","7.2","7.8","+","0.5","7.95","10","8.35","10","26.05"
="03022X","富展01          ","0","0","0","--","--","--","--"," ","0","13.4","10","13.5","10","77.8"
="03023X","富展02          ","48000","2","624000","12.7","13.3","12.7","13.3","X","0","13.3","10","13.4","10","25.94"
="03024X","富展03          ","0","0","0","--","--","--","--"," ","0","24.8","20","25.4","11","143"
="03025X","元展22          ","9000","4","127800","14.2","14.3","14.1","14.1","+","0.4","14.3","495","14.4","495","59"
="03026X","元展23          ","200000","12","712000","3.54","3.66","3.53","3.65","+","0.08","3.66","4","3.67","10","14.98"
="03027X","元展24          ","10000","1","71000","7.1","7.1","7.1","7.1","+","0.2","7.05","100","7.2","100","25.94"
="03028X","元展25          ","0","0","0","--","--","--","--"," ","0","13.5","10","13.7","10","57.8"
="03029X","元展26          ","0","0","0","--","--","--","--"," ","0","8.15","10","8.3","10","32.2"
="03030X","元展27          ","331000","26","482780","1.51","1.54","1.39","1.5","-","0.27","1.54","10","1.55","1","8.58"
="03031X","元展28          ","22000","3","122800","5.5","5.65","5.5","5.65","+","0.35","5.7","10","5.75","10","47.25"
="030323","1Z元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","25.94"
="030324","2A元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","4,448","77.8"
="03032X","元展29          ","0","0","0","--","--","--","--"," ","0","2.67","10","2.69","10","9.43"
="03033X","元展30          ","65000","19","421400","5.9","6.85","5.9","6.6","+","0.7","6.5","10","6.6","8","244.5"
="03035X","元展32          ","46000","4","215660","4.49","4.82","4.49","4.72","+","0.16","4.73","10","4.77","10","23.7"
="03037X","元展34          ","1000","1","5000","5","5","5","5","X","0","5.05","10","5.4","10","17.4"
="03038X","元展35          ","50000","4","447500","8.95","8.95","8.95","8.95","+","0.3","8.95","10","9","10","74.9"
