

2016年01月08日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9201.89,+,62.05,0.68
發行量加權股價指數,7893.97,+,41.91,0.53
臺灣公司治理100指數,4343.98,+,10.91,0.25
臺灣50指數,5732.96,+,10.77,0.19
臺灣中型100指數,5804.94,+,59.89,1.04
臺灣資訊科技指數,6668.75,+,61.21,0.93
臺灣發達指數,6770.19,-,9.11,-0.13
臺灣高股息指數,4919.04,+,41.85,0.86
臺灣就業99指數,4870.17,+,21.44,0.44
臺灣高薪100指數,4316.93,+,17.27,0.4
臺灣低波動高股息指數,1212.65,+,4.34,0.36
未含金融保險股指數,6659.61,+,38.2,0.58
未含電子股指數,11432.4,+,13.74,0.12
未含金融電子股指數,9893.13,+,6.27,0.06
小型股300指數,5025.83,+,77.96,1.58
水泥窯製類指數,372.11,-,2.41,-0.64
塑膠化工類指數,706.11,-,3.5,-0.49
機電類指數,1747.22,+,15.73,0.91
水泥類指數,97.23,-,0.89,-0.91
食品類指數,1279.46,-,7.98,-0.62
塑膠類指數,200.45,-,2.48,-1.22
紡織纖維類指數,528.08,+,4.21,0.8
電機機械類指數,136.07,+,1.35,1
電器電纜類指數,27.68,+,0.18,0.65
化學生技醫療類指數,97.41,+,1.75,1.83
化學類指數,88.24,+,0.74,0.85
生技醫療類指數,77.1,+,2.15,2.87
玻璃陶瓷類指數,31.97,+,0.27,0.85
造紙類指數,145.03,+,1.81,1.26
鋼鐵類指數,71.08,+,0.15,0.21
橡膠類指數,268.55,-,1.56,-0.58
汽車類指數,256.58,-,2.53,-0.98
電子類指數,310.47,+,2.79,0.91
半導體類指數,102.82,+,0.85,0.83
電腦及週邊設備類指數,82.53,+,1.16,1.43
光電類指數,26.78,+,1.03,4
通信網路類指數,111.71,+,0.58,0.52
電子零組件類指數,72.17,+,0.5,0.7
電子通路類指數,90.15,+,0.92,1.03
資訊服務類指數,78.53,+,1.27,1.64
其他電子類指數,74.28,-,0.25,-0.34
建材營造類指數,216.06,+,1.99,0.93
航運類指數,64.22,-,0.01,-0.02
觀光類指數,112.4,-,0.85,-0.75
金融保險類指數,919.83,+,2.4,0.26
貿易百貨類指數,191,+,0.81,0.43
油電燃氣類指數,97.75,-,0.22,-0.22
其他類指數,233.79,+,3.3,1.43
臺指日報酬兩倍指數,9237.47,+,97.57,1.07
臺指日報酬反向一倍指數,10259.09,-,55.05,-0.53
電子類兩倍槓桿指數,6727.87,+,119.84,1.81
電子類反向指數,11729.42,-,107.33,-0.91
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9849.69,+,66.43,0.68
發行量加權股價報酬指數,12495.63,+,66.34,0.53
臺灣公司治理100報酬指數,4511.12,+,11.33,0.25
臺灣50報酬指數,9171.57,+,17.25,0.19
臺灣中型100報酬指數,8671.98,+,89.46,1.04
臺灣資訊科技報酬指數,10143.97,+,93.1,0.93
臺灣發達報酬指數,9783.67,-,13.17,-0.13
臺灣高股息報酬指數,8714.23,+,74.15,0.86
臺灣就業99報酬指數,5750.79,+,25.32,0.44
臺灣高薪100報酬指數,4538.46,+,18.16,0.4
臺灣低波動高股息報酬指數,2501.08,+,8.96,0.36
未含金融電子股報酬指數,15735.72,+,9.97,0.06
小型股300報酬指數,5025.83,+,77.96,1.58
水泥類報酬指數,136.8,-,1.24,-0.9
食品類報酬指數,1521.13,-,9.48,-0.62
塑膠類報酬指數,255.79,-,3.17,-1.22
紡織纖維類報酬指數,666.74,+,5.33,0.81
電機機械類報酬指數,169.55,+,1.68,1
電器電纜類報酬指數,31.65,+,0.2,0.64
化學生技醫療類報酬指數,122.28,+,2.2,1.83
化學類報酬指數,113.7,+,0.94,0.83
生技醫療類報酬指數,91.84,+,2.56,2.87
玻璃陶瓷類報酬指數,34.34,+,0.29,0.85
造紙類報酬指數,173.14,+,2.16,1.26
鋼鐵類報酬指數,91.69,+,0.19,0.21
橡膠類報酬指數,334.76,-,1.93,-0.57
汽車類報酬指數,312.94,-,3.09,-0.98
