

2016年01月22日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9014.69,+,96.61,1.08
發行量加權股價指數,7756.18,+,92.17,1.2
臺灣公司治理100指數,4287.28,+,67.18,1.59
臺灣50指數,5647.52,+,87.96,1.58
臺灣中型100指數,5642.4,+,48.65,0.87
臺灣資訊科技指數,6782.85,+,142.6,2.15
臺灣發達指數,6624.71,+,74.82,1.14
臺灣高股息指數,4795.81,+,43.89,0.92
臺灣就業99指數,4712.87,+,39.77,0.85
臺灣高薪100指數,4198.62,+,57.09,1.38
臺灣低波動高股息指數,1161.18,+,9.71,0.84
未含金融保險股指數,6611.89,+,84.28,1.29
未含電子股指數,11032.73,+,70.62,0.64
未含金融電子股指數,9739.05,+,63.96,0.66
小型股300指數,4927.16,+,22.06,0.45
水泥窯製類指數,359.59,+,0.08,0.02
塑膠化工類指數,703.32,+,5.1,0.73
機電類指數,1744.15,+,28.81,1.68
水泥類指數,92.98,-,0.14,-0.15
食品類指數,1256.44,+,0.72,0.06
塑膠類指數,201.95,+,1.92,0.96
紡織纖維類指數,507.94,+,2.67,0.53
電機機械類指數,136.39,+,2.08,1.55
電器電纜類指數,27.21,+,0.13,0.48
化學生技醫療類指數,95.46,+,0.36,0.38
化學類指數,87.18,+,0.72,0.83
生技醫療類指數,74.92,-,0.07,-0.09
玻璃陶瓷類指數,32.72,+,0.31,0.96
造紙類指數,140.96,+,0.33,0.23
鋼鐵類指數,71.06,+,1.19,1.7
橡膠類指數,259.39,+,0.36,0.14
汽車類指數,238.81,+,2.06,0.87
電子類指數,309.9,+,5.15,1.69
半導體類指數,104.43,+,1.95,1.9
電腦及週邊設備類指數,83.01,+,2.23,2.76
光電類指數,26.36,-,0.11,-0.42
通信網路類指數,112.75,+,0.77,0.69
電子零組件類指數,68.27,+,1.19,1.77
電子通路類指數,88.43,+,0.8,0.91
資訊服務類指數,77.4,+,1.32,1.74
其他電子類指數,71.94,+,1.59,2.26
建材營造類指數,202.13,-,0.5,-0.25
航運類指數,62.3,+,0.04,0.06
觀光類指數,108.67,-,0.29,-0.27
金融保險類指數,843.75,+,5.03,0.6
貿易百貨類指數,193.67,+,2.09,1.09
油電燃氣類指數,102.28,+,1.09,1.08
其他類指數,220.25,+,0.52,0.24
臺指日報酬兩倍指數,8908.87,+,209.25,2.41
臺指日報酬反向一倍指數,10431.09,-,126.97,-1.2
電子類兩倍槓桿指數,6693.88,+,218.84,3.38
